name,mutrate,num_samples,migration_matrix,num_uniq_mutations,uniq_mut_per_site,total_mut_sites,avg_mut_sites_per_sample,avg_proportion_mut_sites,total_dropout,dropout_per_sample,avg_mutation_age,true_migrations,inferred_migrations,proportion
sim0,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,37,3.7000,689,6.8900,.6890,13,.1300,7.70611,11,5,.4545
sim10,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,,,0,0,0,0,0,,0,,
sim11,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,,,0,0,0,0,0,,0,,
sim12,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,,,0,0,0,0,0,,0,,
sim13,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,34,3.4000,666,6.6600,.6660,0,0,8.38036,11,8,.7272
sim14,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,,,0,0,0,0,0,,0,,
sim15,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,28,2.8000,807,8.0700,.8070,0,0,7.23135,11,7,.6363
sim16,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,31,3.1000,574,5.7400,.5740,0,0,7.97222,11,7,.6363
sim17,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,32,3.2000,701,7.0100,.7010,47,.4700,7.9199,11,2,.1818
sim18,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,41,4.1000,376,3.7600,.3760,0,0,8.16583,11,11,1.0000
sim19,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,,,0,0,0,0,0,,0,,
sim1,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,32,3.2000,605,6.0500,.6050,0,0,8.40053,11,8,.7272
sim2,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,21,2.1000,857,8.5700,.8570,0,0,7.65912,11,7,.6363
