output_name,mut_rate,num_mut_leaves,sample_size,freq_mut_outcome
run1000,0.25,80,100,0.8
run1001,0.25,83,100,0.83
run1002,0.25,84,100,0.84
run1003,0.25,100,100,1.0
run1004,0.25,62,100,0.62
run1005,0.25,83,100,0.83
run1006,0.25,93,100,0.93
run1007,0.25,97,100,0.97
run1008,0.25,78,100,0.78
run1009,0.25,81,100,0.81
run100,0.025,45,100,0.45
run1010,0.25,80,100,0.8
run1011,0.25,100,100,1.0
run1012,0.25,92,100,0.92
run1013,0.25,98,100,0.98
run1014,0.25,76,100,0.76
run1015,0.25,75,100,0.75
run1016,0.25,98,100,0.98
run1017,0.25,63,100,0.63
run1018,0.25,81,100,0.81
run1019,0.25,100,100,1.0
run101,0.025,9,100,0.09
run1020,0.25,100,100,1.0
run1021,0.25,78,100,0.78
run1022,0.25,74,100,0.74
run1023,0.25,100,100,1.0
run1024,0.25,82,100,0.82
run1025,0.25,89,100,0.89
run1026,0.25,96,100,0.96
run1027,0.25,87,100,0.87
run1028,0.25,96,100,0.96
run1029,0.25,72,100,0.72
run102,0.025,39,100,0.39
run1030,0.25,74,100,0.74
run1031,0.25,97,100,0.97
run1032,0.25,100,100,1.0
run1033,0.25,84,100,0.84
run1034,0.25,100,100,1.0
run1035,0.25,100,100,1.0
run1036,0.25,83,100,0.83
run1037,0.25,88,100,0.88
run1038,0.25,91,100,0.91
run1039,0.25,98,100,0.98
run103,0.025,76,100,0.76
run1040,0.25,88,100,0.88
run1041,0.25,61,100,0.61
run1042,0.25,79,100,0.79
run1043,0.25,100,100,1.0
run1044,0.25,97,100,0.97
run1045,0.25,87,100,0.87
run1046,0.25,100,100,1.0
run1047,0.25,53,100,0.53
run1048,0.25,85,100,0.85
run1049,0.25,100,100,1.0
run104,0.025,15,100,0.15
run1050,0.25,85,100,0.85
run1051,0.25,100,100,1.0
run1052,0.25,84,100,0.84
run1053,0.25,76,100,0.76
run1054,0.25,92,100,0.92
run1055,0.25,100,100,1.0
run1056,0.25,69,100,0.69
run1057,0.25,73,100,0.73
run1058,0.25,98,100,0.98
run1059,0.25,74,100,0.74
run105,0.025,37,100,0.37
run1060,0.25,80,100,0.8
run1061,0.25,94,100,0.94
run1062,0.25,100,100,1.0
run1063,0.25,100,100,1.0
run1064,0.25,76,100,0.76
run1065,0.25,100,100,1.0
run1066,0.25,91,100,0.91
run1067,0.25,90,100,0.9
run1068,0.25,89,100,0.89
run1069,0.25,59,100,0.59
run106,0.025,7,100,0.07
run1070,0.25,56,100,0.56
run1071,0.25,100,100,1.0
run1072,0.25,88,100,0.88
run1073,0.25,75,100,0.75
run1074,0.25,76,100,0.76
run1075,0.25,82,100,0.82
run1076,0.25,100,100,1.0
run1077,0.25,95,100,0.95
run1078,0.25,94,100,0.94
run1079,0.25,100,100,1.0
run107,0.025,2,100,0.02
run1080,0.25,100,100,1.0
run1081,0.25,98,100,0.98
run1082,0.25,100,100,1.0
run1083,0.25,100,100,1.0
run1084,0.25,74,100,0.74
run1085,0.25,94,100,0.94
run1086,0.25,98,100,0.98
run1087,0.25,91,100,0.91
run1088,0.25,89,100,0.89
run1089,0.25,96,100,0.96
run108,0.025,60,100,0.6
run1090,0.25,100,100,1.0
run1091,0.25,77,100,0.77
run1092,0.25,100,100,1.0
run1093,0.25,93,100,0.93
run1094,0.25,79,100,0.79
run1095,0.25,93,100,0.93
run1096,0.25,76,100,0.76
run1097,0.25,86,100,0.86
run1098,0.25,100,100,1.0
run1099,0.25,100,100,1.0
run109,0.025,6,100,0.06
run10,0.01,2,100,0.02
run1100,0.275,94,100,0.94
run1101,0.275,94,100,0.94
run1102,0.275,99,100,0.99
run1103,0.275,100,100,1.0
run1104,0.275,85,100,0.85
run1105,0.275,74,100,0.74
run1106,0.275,100,100,1.0
run1107,0.275,100,100,1.0
run1108,0.275,100,100,1.0
run1109,0.275,74,100,0.74
run110,0.025,24,100,0.24
run1110,0.275,82,100,0.82
run1111,0.275,100,100,1.0
run1112,0.275,90,100,0.9
run1113,0.275,97,100,0.97
run1114,0.275,99,100,0.99
run1115,0.275,97,100,0.97
run1116,0.275,98,100,0.98
run1117,0.275,99,100,0.99
run1118,0.275,83,100,0.83
run1119,0.275,92,100,0.92
run111,0.025,0,100,0.0
run1120,0.275,100,100,1.0
run1121,0.275,85,100,0.85
run1122,0.275,89,100,0.89
run1123,0.275,77,100,0.77
run1124,0.275,92,100,0.92
run1125,0.275,85,100,0.85
run1126,0.275,100,100,1.0
run1127,0.275,90,100,0.9
run1128,0.275,93,100,0.93
run1129,0.275,90,100,0.9
run112,0.025,0,100,0.0
run1130,0.275,82,100,0.82
run1131,0.275,86,100,0.86
run1132,0.275,100,100,1.0
run1133,0.275,72,100,0.72
run1134,0.275,100,100,1.0
run1135,0.275,87,100,0.87
run1136,0.275,84,100,0.84
run1137,0.275,98,100,0.98
run1138,0.275,95,100,0.95
run1139,0.275,86,100,0.86
run113,0.025,24,100,0.24
run1140,0.275,33,100,0.33
run1141,0.275,100,100,1.0
run1142,0.275,100,100,1.0
run1143,0.275,94,100,0.94
run1144,0.275,100,100,1.0
run1145,0.275,100,100,1.0
run1146,0.275,94,100,0.94
run1147,0.275,100,100,1.0
run1148,0.275,100,100,1.0
run1149,0.275,81,100,0.81
run114,0.025,31,100,0.31
run1150,0.275,100,100,1.0
run1151,0.275,100,100,1.0
run1152,0.275,74,100,0.74
run1153,0.275,95,100,0.95
run1154,0.275,100,100,1.0
run1155,0.275,67,100,0.67
run1156,0.275,95,100,0.95
run1157,0.275,93,100,0.93
run1158,0.275,86,100,0.86
run1159,0.275,80,100,0.8
run115,0.025,3,100,0.03
run1160,0.275,72,100,0.72
run1161,0.275,100,100,1.0
run1162,0.275,79,100,0.79
run1163,0.275,92,100,0.92
run1164,0.275,87,100,0.87
run1165,0.275,69,100,0.69
run1166,0.275,100,100,1.0
run1167,0.275,100,100,1.0
run1168,0.275,53,100,0.53
run1169,0.275,100,100,1.0
run116,0.025,19,100,0.19
run1170,0.275,91,100,0.91
run1171,0.275,86,100,0.86
run1172,0.275,96,100,0.96
run1173,0.275,100,100,1.0
run1174,0.275,80,100,0.8
run1175,0.275,100,100,1.0
run1176,0.275,100,100,1.0
run1177,0.275,100,100,1.0
run1178,0.275,83,100,0.83
run1179,0.275,97,100,0.97
run117,0.025,8,100,0.08
run1180,0.275,99,100,0.99
run1181,0.275,87,100,0.87
run1182,0.275,80,100,0.8
run1183,0.275,68,100,0.68
run1184,0.275,74,100,0.74
run1185,0.275,100,100,1.0
run1186,0.275,75,100,0.75
run1187,0.275,88,100,0.88
run1188,0.275,100,100,1.0
run1189,0.275,100,100,1.0
run118,0.025,47,100,0.47
run1190,0.275,94,100,0.94
run1191,0.275,77,100,0.77
run1192,0.275,98,100,0.98
run1193,0.275,95,100,0.95
run1194,0.275,100,100,1.0
run1195,0.275,95,100,0.95
run1196,0.275,92,100,0.92
run1197,0.275,74,100,0.74
run1198,0.275,95,100,0.95
run1199,0.275,78,100,0.78
run119,0.025,98,100,0.98
run11,0.01,0,100,0.0
run1200,0.3,100,100,1.0
run1201,0.3,100,100,1.0
run1202,0.3,94,100,0.94
run1203,0.3,97,100,0.97
run1204,0.3,100,100,1.0
run1205,0.3,100,100,1.0
run1206,0.3,100,100,1.0
run1207,0.3,80,100,0.8
run1208,0.3,100,100,1.0
