name,mutrate,num_samples,migration_matrix,num_uniq_mutations,uniq_mut_per_site,total_mut_sites,avg_mut_sites_per_sample,avg_proportion_mut_sites,total_dropout,dropout_per_sample,avg_mutation_age,true_migrations,inferred_migrations,proportion
sim0,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,58,5.8000,548,5.4800,.5480,0,0,3.79446,319,13,.0407
sim10,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,62,6.2000,424,4.2400,.4240,2,.0200,3.74962,312,14,.0448
sim11,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,60,6.0000,491,4.9100,.4910,0,0,4.38118,289,16,.0553
sim12,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,61,6.1000,479,4.7900,.4790,0,0,3.78237,341,14,.0410
sim13,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,69,6.9000,460,4.6000,.4600,0,0,4.40364,413,18,.0435
sim14,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,,,0,0,0,0,0,,0,,
sim15,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,58,5.8000,704,7.0400,.7040,0,0,5.46234,293,2,.0068
sim16,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,68,6.8000,499,4.9900,.4990,0,0,4.65179,306,3,.0098
sim17,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,,,0,0,0,0,0,,0,,
sim18,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,62,6.2000,613,6.1300,.6130,2,.0200,4.55168,275,11,.0400
