	0	1	2	3	4	5	6	7	8	9
1756	0	0	99	81	95	0	0	0	0	95
1887	29	0	99	81	0	70	0	91	72	61
3290	91	0	99	81	0	0	0	41	76	0
5396	74	58	35	81	0	0	0	32	48	0
5647	10	48	99	81	0	0	93	41	69	33
6225	0	5	36	81	68	0	93	0	56	0
6362	33	0	0	81	36	0	93	0	0	0
6851	0	0	69	81	5	0	0	0	0	93
6862	93	0	0	81	0	0	67	0	0	0
7168	99	0	99	81	0	0	0	91	0	0
7280	74	56	99	81	0	0	41	0	94	95
7585	0	0	0	81	55	0	0	0	0	0
8025	0	9	0	81	26	0	0	18	0	2
8946	0	0	0	81	66	0	93	6	0	36
8980	0	9	0	81	26	0	0	18	0	0
8981	0	9	0	81	26	0	0	18	0	0
9462	0	0	0	81	36	0	93	0	0	0
9792	61	56	99	81	0	0	55	91	0	0
10405	0	0	0	81	0	0	47	0	0	0
10603	32	9	0	81	26	0	0	18	0	0
10614	0	9	0	81	26	0	0	18	0	0
10675	0	64	0	81	36	0	93	0	7	0
10759	0	0	11	81	36	19	93	0	0	0
10838	19	0	0	81	0	0	0	0	0	5
11471	0	0	99	81	95	68	0	0	0	95
11912	18	0	0	81	18	0	0	69	0	35
11950	64	96	0	81	66	0	93	0	61	98
12116	0	93	99	81	0	68	0	0	0	95
12591	0	69	99	81	0	0	0	91	0	0
12596	0	0	99	81	99	0	0	91	0	0
13263	0	90	0	81	0	0	0	0	67	35
13307	0	0	19	81	36	0	93	69	0	62
13371	0	0	99	81	0	22	0	91	0	57
13482	75	0	0	81	0	0	93	0	0	77
13708	0	50	99	81	95	0	0	70	0	95
13851	0	0	0	81	0	34	0	0	41	0
13891	0	9	0	81	26	0	0	18	0	0
13977	0	0	0	81	0	41	0	89	0	0
14021	0	0	0	81	31	95	93	6	56	0
14078	50	0	99	81	0	0	0	41	0	0
14121	0	90	0	81	89	0	0	0	0	35
14682	50	67	99	81	0	0	0	41	0	0
14718	0	19	99	81	0	0	70	41	90	0
15063	50	0	99	81	0	0	0	41	0	0
15231	0	0	99	81	0	0	74	0	0	0
15234	29	0	99	81	0	0	69	91	0	0
15517	0	0	99	81	99	0	0	91	0	0
15712	99	0	99	81	68	93	95	91	0	0
15773	50	0	99	81	0	10	35	41	0	0
15779	99	69	99	81	69	0	0	91	0	81
16085	0	0	0	81	36	0	93	0	0	62
16298	0	0	99	81	0	68	0	0	0	95
16424	0	0	6	81	66	14	93	0	0	0
16461	41	0	0	81	0	0	74	0	0	0
16613	96	70	93	81	0	0	0	95	0	35
16805	0	0	36	81	68	96	93	91	56	0
17040	50	0	99	81	44	0	0	41	53	0
17056	0	0	99	81	0	67	55	91	0	0
17187	0	0	0	81	36	0	93	0	0	0
17246	0	69	0	81	59	0	0	0	0	0
17367	93	0	0	81	0	16	93	90	0	77
17437	0	31	99	81	0	0	0	68	41	0
17504	0	0	99	81	0	67	55	91	0	0
17537	0	0	0	81	0	0	0	31	0	99
17579	0	0	0	81	0	33	36	0	0	0
17631	18	0	0	81	36	27	93	0	0	0
17766	42	9	0	81	26	0	0	18	0	0
17840	0	0	99	81	0	68	14	81	0	95
17889	58	0	99	81	91	68	90	0	0	95
17895	30	0	0	81	0	0	0	0	0	35
17916	0	0	99	81	36	0	0	91	0	0
18083	0	0	89	81	66	0	93	68	0	0
18111	0	0	0	81	36	0	93	0	0	0
18117	68	0	99	81	0	68	0	0	0	95
18173	0	9	0	81	26	19	0	18	0	0
18270	66	0	0	81	0	0	55	0	0	0
18377	0	0	99	81	0	0	55	91	0	0
18391	29	0	99	81	0	0	0	91	0	0
18492	0	90	0	81	99	0	0	0	0	35
18511	0	81	0	81	33	41	0	0	0	39
18543	0	0	99	81	95	0	0	0	41	95
18704	64	96	0	81	66	0	93	0	61	0
18776	18	0	0	81	0	0	0	69	31	35
18833	0	0	0	81	0	0	93	0	56	0
18882	0	8	69	81	0	0	67	0	0	0
18977	36	64	0	81	55	0	0	0	0	0
19067	0	0	0	81	0	95	93	6	56	0
19113	0	0	0	81	36	75	93	0	0	62
19114	0	90	0	81	0	93	69	0	0	35
19121	0	62	99	81	0	14	70	41	0	0
19253	0	0	68	81	0	0	93	0	56	0
19293	0	0	0	81	0	0	0	0	0	90
19316	0	0	0	81	64	0	0	78	82	0
19338	10	48	99	81	0	31	0	41	0	33
19393	99	0	99	81	0	0	69	91	0	0
19494	29	0	99	81	0	39	0	91	0	14
19500	72	0	99	81	35	0	55	91	95	0
19690	0	69	99	81	0	0	0	91	0	0
19826	0	0	99	81	0	0	0	91	19	0
19976	0	9	0	81	26	0	0	18	0	0
