node	tissue	leaves	parent_node	parent_tissue	migration_event
0	PRL	False			
1	PRL	False	0	PRL	False
2	PRL	False	1	PRL	False
3	PRL	False	1	PRL	False
4	PRL	False	3	PRL	False
5	LGR	False	3	PRL	True
6	PRL	False	2	PRL	False
7	HMR	False	2	PRL	True
8	HMR	False	7	HMR	False
9	HMR	False	7	HMR	False
10	HMR	False	9	HMR	False
11	HMR	False	9	HMR	False
12	HMR	False	10	HMR	False
13	HMR	False	10	HMR	False
14	LGR	False	5	LGR	False
15	LGR	False	5	LGR	False
16	HMR	False	8	HMR	False
17	HMR	False	8	HMR	False
18	PRL	False	6	PRL	False
19	PRL	False	6	PRL	False
20	HMR	False	13	HMR	False
21	HMR	False	13	HMR	False
22	LGR	False	14	LGR	False
23	LGR	False	14	LGR	False
24	PRL	False	19	PRL	False
25	PRL	False	19	PRL	False
26	LGR	False	22	LGR	False
27	LGR	False	22	LGR	False
28	HMR	False	16	HMR	False
29	HMR	False	16	HMR	False
30	HMR	False	28	HMR	False
31	HMR	False	28	HMR	False
32	HMR	False	20	HMR	False
33	HMR	False	20	HMR	False
34	LGR	False	15	LGR	False
35	LGR	False	15	LGR	False
36	PRL	False	25	PRL	False
37	PRL	False	25	PRL	False
38	PRL	False	24	PRL	False
39	PRL	False	24	PRL	False
40	PRL	False	36	PRL	False
41	PRL	False	36	PRL	False
42	HMR	False	31	HMR	False
43	HMR	False	31	HMR	False
44	HMR	False	26	LGR	True
45	LGR	False	26	LGR	False
46	HMR	False	44	HMR	False
47	HMR	False	44	HMR	False
48	PRL	False	38	PRL	False
49	PRL	False	38	PRL	False
50	PRL	False	40	PRL	False
51	PRL	False	40	PRL	False
52	HMR	False	17	HMR	False
53	HMR	False	17	HMR	False
54	HMR	False	42	HMR	False
55	HMR	False	42	HMR	False
56	LGR	False	45	LGR	False
57	LGR	False	45	LGR	False
58	HMR	False	21	HMR	False
59	HMR	False	21	HMR	False
60	LGR	False	34	LGR	False
61	LGR	False	34	LGR	False
62	HMR	False	53	HMR	False
63	HMR	False	53	HMR	False
64	LGR	True	56	LGR	False
65	LGR	False	56	LGR	False
66	HMR	False	54	HMR	False
67	HMR	False	54	HMR	False
68	PRL	False	48	PRL	False
69	PRL	False	48	PRL	False
70	HMR	False	43	HMR	False
71	HMR	False	43	HMR	False
72	LGR	False	57	LGR	False
73	LGR	False	57	LGR	False
74	HMR	False	63	HMR	False
75	HMR	False	63	HMR	False
76	HMR	False	71	HMR	False
77	HMR	False	71	HMR	False
78	HMR	False	59	HMR	False
79	HMR	False	59	HMR	False
80	HMR	False	66	HMR	False
81	HMR	False	66	HMR	False
82	HMR	False	30	HMR	False
83	HMR	False	30	HMR	False
84	LGR	False	60	LGR	False
85	LGR	False	60	LGR	False
86	LGR	False	72	LGR	False
87	LGR	False	72	LGR	False
88	HMR	False	46	HMR	False
89	HMR	False	46	HMR	False
90	HMR	False	88	HMR	False
91	HMR	False	88	HMR	False
92	LGR	False	86	LGR	False
93	LGR	False	86	LGR	False
94	HMR	False	80	HMR	False
95	HMR	False	80	HMR	False
96	LGR	False	87	LGR	False
97	LGR	False	87	LGR	False
98	HMR	False	67	HMR	False
99	HMR	False	67	HMR	False
100	HMR	False	98	HMR	False
101	HMR	False	98	HMR	False
102	PRL	False	51	PRL	False
103	PRL	False	51	PRL	False
104	LGR	False	97	LGR	False
105	LGR	False	97	LGR	False
106	LGR	False	84	LGR	False
107	LGR	False	84	LGR	False
108	PRL	False	103	PRL	False
109	LGR	False	103	PRL	True
110	PRL	False	4	PRL	False
111	PRL	False	4	PRL	False
112	LGR	False	27	LGR	False
113	LGR	False	27	LGR	False
114	LGR	False	35	LGR	False
115	LGR	False	35	LGR	False
116	HMR	False	52	HMR	False
117	HMR	False	52	HMR	False
118	HMR	False	33	HMR	False
119	HMR	False	33	HMR	False
120	HMR	False	75	HMR	False
121	HMR	False	75	HMR	False
122	HMR	False	70	HMR	False
123	HMR	False	70	HMR	False
124	HMR	False	83	HMR	False
125	HMR	False	83	HMR	False
126	HMR	False	74	HMR	False
127	HMR	False	74	HMR	False
128	LGR	False	41	PRL	True
129	HMR	False	41	PRL	True
130	LGR	False	104	LGR	False
131	LGR	False	104	LGR	False
132	LGR	False	107	LGR	False
133	LGR	False	107	LGR	False
134	PRL	False	69	PRL	False
135	PRL	False	69	PRL	False
136	HMR	False	89	HMR	False
137	HMR	False	89	HMR	False
138	LGR	False	85	LGR	False
139	LGR	False	85	LGR	False
140	LGR	False	96	LGR	False
141	LGR	False	96	LGR	False
142	HMR	False	55	HMR	False
143	HMR	False	55	HMR	False
144	LGR	False	131	LGR	False
145	LGR	False	131	LGR	False
146	PRL	False	102	PRL	False
147	PRL	False	102	PRL	False
148	PRL	False	108	PRL	False
149	PRL	False	108	PRL	False
150	HMR	False	123	HMR	False
151	HMR	False	123	HMR	False
152	LGR	False	151	HMR	True
153	HMR	False	151	HMR	False
154	LGR	False	152	LGR	False
155	LGR	False	152	LGR	False
156	HMR	False	125	HMR	False
157	HMR	False	125	HMR	False
158	HMR	False	81	HMR	False
159	HMR	False	81	HMR	False
160	HMR	False	62	HMR	False
161	HMR	False	62	HMR	False
162	LGR	False	92	LGR	False
163	LGR	False	92	LGR	False
164	PRL	False	18	PRL	False
165	PRL	False	18	PRL	False
166	LGR	False	61	LGR	False
167	LGR	False	61	LGR	False
168	LGR	False	145	LGR	False
169	LGR	False	145	LGR	False
170	LGR	False	109	LGR	False
171	LGR	False	109	LGR	False
172	HMR	False	76	HMR	False
173	HMR	False	76	HMR	False
174	LGR	False	141	LGR	False
175	LGR	False	141	LGR	False
176	PRL	False	164	PRL	False
177	PRL	False	164	PRL	False
178	LGR	False	133	LGR	False
179	LGR	False	133	LGR	False
180	PRL	False	37	PRL	False
181	HMR	False	37	PRL	True
182	HMR	False	100	HMR	False
183	HMR	False	100	HMR	False
184	LGR	False	112	LGR	False
185	LGR	False	112	LGR	False
186	HMR	False	101	HMR	False
187	HMR	False	101	HMR	False
188	HMR	False	142	HMR	False
189	HMR	False	142	HMR	False
190	LGR	False	162	LGR	False
191	LGR	False	162	LGR	False
192	HMR	False	94	HMR	False
193	HMR	False	94	HMR	False
194	LGR	False	128	LGR	False
195	LGR	True	128	LGR	False
196	LGR	False	190	LGR	False
