	0	1	2	3	4	5	6	7	8	9
2252	0	97	0	0	0	0	38	0	60	86
3123	52	14	0	0	0	0	0	0	60	44
3553	0	1	68	86	0	0	8	34	0	0
3966	0	21	0	0	86	1	21	0	0	0
4905	0	0	0	0	0	0	18	0	6	0
5022	0	0	0	49	0	0	18	0	0	0
5309	0	79	4	0	0	0	21	4	77	0
5430	0	0	68	86	22	0	8	34	0	0
5592	51	0	71	-1	1	0	0	0	60	89
6236	0	0	0	86	14	0	60	85	60	0
6366	0	79	4	0	68	86	21	0	0	0
7699	0	81	68	35	0	38	14	34	80	73
7743	0	0	0	0	82	76	0	75	0	0
8118	80	1	1	86	0	0	0	0	60	67
8371	0	68	60	86	0	0	0	21	60	0
8544	0	0	68	97	0	0	0	0	0	0
8739	35	0	68	0	0	61	0	34	0	0
8827	0	25	0	4	0	0	0	0	60	0
8885	0	0	11	93	0	4	0	0	62	0
9144	41	20	0	35	0	0	21	0	0	4
9759	0	0	0	0	0	20	33	0	60	89
9892	0	0	68	97	0	0	6	0	0	0
10346	0	0	0	49	0	85	18	94	14	0
10455	0	0	0	0	0	4	0	0	0	49
10532	0	20	91	35	0	0	21	0	0	0
10600	0	0	0	0	0	0	18	79	0	0
10732	0	0	0	0	0	20	0	0	60	0
10779	0	0	71	-1	0	0	0	0	60	89
10896	0	79	4	0	79	0	21	34	0	0
11115	0	97	79	0	45	0	0	0	60	86
11251	0	20	0	35	0	0	21	48	0	0
11363	38	0	0	0	0	97	89	0	60	0
11597	0	86	0	30	0	0	18	0	0	0
11601	0	0	14	21	62	0	0	0	60	0
11966	0	79	4	0	0	0	21	0	0	0
12161	0	0	11	0	0	4	0	0	60	0
12186	0	0	0	0	0	4	0	49	86	25
12330	0	79	4	0	0	38	21	0	0	0
12608	0	79	4	0	79	0	21	0	0	0
12936	40	79	4	0	0	0	21	40	92	0
13386	0	47	14	21	0	0	0	68	60	0
13633	0	0	68	86	21	0	8	34	0	0
13701	0	0	99	0	0	97	22	28	60	0
13829	0	0	22	0	0	0	0	0	0	0
14091	0	0	0	0	0	78	0	0	60	0
14122	80	1	1	86	6	0	0	0	60	0
14124	0	0	93	86	34	70	0	0	60	0
14322	0	37	71	-1	0	0	0	0	60	89
14366	0	0	0	0	0	68	0	0	60	29
14641	20	0	6	0	0	4	0	0	0	0
14664	0	0	0	0	0	0	0	0	60	29
14807	0	0	11	0	0	4	22	0	0	0
14938	0	0	6	0	86	1	21	0	0	0
15126	0	86	0	0	0	0	0	0	60	0
15176	57	0	14	21	0	0	0	0	60	0
15219	0	0	0	86	14	0	60	0	60	0
15572	0	40	0	0	0	0	0	0	60	0
15843	0	79	4	88	0	2	21	0	0	0
15934	0	20	0	35	71	-1	21	0	0	0
15974	4	79	4	0	0	63	21	0	0	0
16032	0	20	0	35	0	9	21	21	0	0
16082	0	0	0	0	0	0	0	25	0	0
16169	0	38	14	21	62	0	85	0	60	0
16321	41	20	0	35	0	0	21	0	0	4
16367	0	0	0	0	0	0	0	89	60	0
16443	0	0	0	0	0	4	0	77	10	0
16510	0	0	68	86	21	0	8	34	0	0
16553	0	0	6	86	0	0	0	34	60	0
16778	80	1	1	86	0	0	0	0	60	0
16780	0	79	4	0	68	38	21	0	0	0
16798	57	0	22	0	0	0	0	0	0	0
16800	0	0	68	86	21	0	8	34	0	0
16871	0	0	0	76	0	0	0	0	60	0
17052	0	0	0	0	0	4	0	0	0	0
17444	0	79	4	0	79	0	21	0	0	79
17496	0	0	0	0	37	0	0	1	60	0
17573	0	0	60	76	82	76	57	75	0	0
17594	0	0	71	-1	13	0	0	0	60	89
17654	60	79	4	88	32	0	21	0	0	0
17655	60	79	4	88	32	0	21	0	0	0
17752	0	0	0	0	0	4	0	49	86	25
17792	0	0	68	0	0	38	14	34	80	0
17919	0	0	38	0	33	0	0	0	60	0
17942	4	79	4	0	86	0	21	0	0	0
17985	97	0	0	79	0	0	18	0	0	0
17996	0	0	0	29	1	0	0	0	60	0
18041	0	1	20	0	0	33	0	0	60	0
18091	0	97	0	57	0	0	0	0	60	86
18297	0	0	0	0	0	0	18	0	0	0
18465	4	15	0	0	82	76	0	75	0	0
18470	0	0	11	0	62	4	45	0	76	76
18634	0	0	0	68	0	20	33	0	60	0
18666	77	0	0	86	0	0	35	91	60	78
18676	0	0	97	0	0	0	18	18	0	0
19069	0	20	0	35	41	0	21	0	0	0
19121	41	20	0	35	0	0	21	0	0	4
19433	0	79	4	27	0	0	21	0	0	68
19579	0	79	4	0	68	0	21	0	0	0
19920	0	0	0	8	0	0	0	0	0	0
19957	0	0	0	86	14	0	60	33	60	40
