	0	1	2	3	4	5	6	7	8	9
904	50	0	0	0	76	35	6	42	61	0
1208	40	0	0	0	76	35	66	71	61	46
1307	0	26	79	0	76	35	66	0	61	0
1556	0	0	0	0	76	35	66	0	61	9
3948	40	79	0	0	76	35	66	71	61	0
4249	83	0	97	0	76	35	66	0	61	0
5025	8	0	0	0	76	35	66	11	61	55
5425	8	0	0	0	76	35	66	95	61	55
6453	0	0	0	62	76	35	66	67	61	82
6499	0	0	0	73	-1	35	66	18	61	0
6545	0	0	94	82	76	35	66	0	61	0
6875	8	0	0	0	76	35	66	0	61	0
6978	8	0	43	0	76	35	66	1	61	55
7104	0	35	0	0	76	35	66	0	61	98
7769	79	46	0	0	76	35	66	0	61	0
8044	8	0	0	0	76	35	66	11	61	55
8194	57	3	52	1	76	35	71	0	61	0
8539	8	67	0	0	76	35	66	0	61	55
8851	8	0	0	0	76	35	66	0	61	0
9140	40	0	98	53	76	35	66	71	61	0
9532	0	0	0	0	76	35	66	18	61	0
9694	0	69	0	0	76	35	66	0	61	30
9733	0	0	94	82	76	35	66	0	61	0
9755	0	0	0	0	76	35	66	0	61	0
9968	9	0	0	58	76	35	66	0	61	97
9971	0	0	94	82	76	35	66	0	61	0
10126	9	0	0	58	76	35	66	0	61	97
10138	8	0	0	0	76	35	66	16	61	55
10207	0	0	52	3	76	35	71	0	61	36
10518	8	0	6	79	76	35	66	0	61	55
10626	0	0	52	38	76	35	71	79	61	0
10726	1	52	0	0	76	35	66	0	61	0
10860	40	0	64	4	76	35	66	71	61	46
10906	0	73	-1	0	76	35	66	0	61	0
11071	74	29	0	0	76	35	66	0	61	0
11352	35	0	0	0	76	35	66	0	61	55
11511	0	0	52	38	76	35	71	0	61	0
11520	0	54	67	0	76	35	66	0	61	55
11589	57	0	0	0	76	35	66	1	61	0
12031	0	79	0	0	76	35	66	67	61	82
12130	0	0	97	0	76	35	66	0	61	0
12238	8	4	0	83	76	35	66	0	61	55
12484	0	26	0	0	76	35	66	0	61	11
12598	0	0	0	16	76	35	66	0	61	0
12775	0	0	57	0	76	35	66	0	61	0
12838	76	0	0	0	76	35	66	0	61	0
13034	0	0	0	0	76	35	66	0	61	0
13138	43	0	0	52	76	35	66	0	61	0
13191	0	0	52	0	76	35	71	0	61	0
13292	0	0	0	0	76	35	66	93	61	6
13336	0	1	4	0	76	35	66	0	61	40
13693	40	0	0	0	76	35	66	71	61	0
13730	0	91	0	0	76	35	66	0	61	0
13916	0	85	0	0	76	35	66	0	61	95
14319	0	0	52	13	76	35	71	0	61	0
14334	0	0	0	0	76	35	66	44	61	69
14412	0	0	94	82	76	35	66	0	61	0
14451	0	0	0	0	76	35	66	9	61	0
14564	85	0	52	0	76	35	71	0	61	55
14630	0	0	0	77	76	35	66	0	61	29
14728	40	69	57	0	76	35	66	71	61	0
15073	0	0	52	3	76	35	71	0	61	36
15133	40	0	0	0	76	35	66	71	61	0
15265	52	0	0	0	76	35	66	0	61	21
15308	85	0	52	67	76	35	71	0	61	55
15317	0	85	85	61	76	35	66	0	61	0
15318	0	0	97	46	76	35	66	0	61	0
15461	0	0	94	0	76	35	66	0	61	0
15576	0	0	0	0	76	35	66	0	61	0
15809	0	0	0	0	76	35	66	67	61	82
15850	0	11	52	38	76	35	71	0	61	0
15913	0	0	0	52	76	35	66	0	61	0
16052	57	60	0	8	76	35	66	0	61	91
16069	0	57	0	97	76	35	6	59	61	34
16729	71	29	61	35	76	35	66	9	61	0
16775	0	0	0	0	76	35	66	0	61	0
16925	0	0	69	0	76	35	66	67	61	0
17016	0	0	0	0	76	35	66	0	61	0
17017	0	0	0	0	76	35	66	0	61	0
17136	0	0	0	0	76	35	66	0	61	0
17201	0	0	52	0	76	35	71	0	61	0
17228	0	0	0	0	76	35	66	67	61	82
17262	33	67	94	0	76	35	66	0	61	1
17272	0	0	0	9	76	35	66	0	61	0
17328	0	8	52	0	76	35	71	0	61	0
17780	0	0	0	0	76	35	66	79	61	0
18116	90	92	0	0	76	35	66	0	61	0
18196	40	82	0	0	76	35	66	71	61	0
18221	8	0	0	0	76	35	66	0	61	55
18503	74	29	0	0	76	35	66	0	61	0
18864	0	94	0	0	76	35	66	0	61	98
18908	0	0	0	61	76	35	66	0	61	82
19045	8	0	0	0	76	35	66	95	61	55
19061	8	0	0	0	76	35	66	0	61	55
19206	0	52	0	0	76	35	66	0	61	0
19284	0	0	45	95	76	35	66	0	61	0
19580	8	71	97	0	76	35	66	0	61	55
19797	0	0	0	9	76	35	66	0	61	0
19945	0	0	0	0	76	35	66	0	61	0
19969	8	0	0	0	76	35	66	0	61	0
