node	tissue	leaves	parent_node	parent_tissue	migration_event
0	PRL	False			
1	PRL	False	0	PRL	False
2	PRL	False	1	PRL	False
3	PRL	False	1	PRL	False
4	PRL	False	3	PRL	False
5	PRL	False	3	PRL	False
6	PRL	False	2	PRL	False
7	PRL	False	2	PRL	False
8	PRL	False	6	PRL	False
9	PRL	False	6	PRL	False
10	PRL	False	9	PRL	False
11	PRL	False	9	PRL	False
12	PRL	False	11	PRL	False
13	PRL	False	11	PRL	False
14	PRL	False	8	PRL	False
15	PRL	False	8	PRL	False
16	PRL	False	15	PRL	False
17	PRL	False	15	PRL	False
18	PRL	False	13	PRL	False
19	PRL	False	13	PRL	False
20	PRL	False	10	PRL	False
21	PRL	False	10	PRL	False
22	PRL	False	12	PRL	False
23	PRL	False	12	PRL	False
24	PRL	False	16	PRL	False
25	PRL	False	16	PRL	False
26	PRL	False	18	PRL	False
27	PRL	False	18	PRL	False
28	PRL	False	5	PRL	False
29	PRL	False	5	PRL	False
30	PRL	False	28	PRL	False
31	PRL	False	28	PRL	False
32	PRL	False	30	PRL	False
33	PRL	False	30	PRL	False
34	PRL	False	17	PRL	False
35	PRL	False	17	PRL	False
36	PRL	False	25	PRL	False
37	PRL	False	25	PRL	False
38	PRL	False	26	PRL	False
39	PRL	False	26	PRL	False
40	PRL	False	35	PRL	False
41	PRL	False	35	PRL	False
42	PRL	False	34	PRL	False
43	PRL	False	34	PRL	False
44	PRL	False	39	PRL	False
45	PRL	False	39	PRL	False
46	PRL	False	21	PRL	False
47	PRL	False	21	PRL	False
48	PRL	False	32	PRL	False
49	PRL	False	32	PRL	False
50	PRL	False	27	PRL	False
51	PRL	False	27	PRL	False
52	PRL	False	37	PRL	False
53	PRL	False	37	PRL	False
54	PRL	False	23	PRL	False
55	PRL	False	23	PRL	False
56	PRL	False	36	PRL	False
57	PRL	False	36	PRL	False
58	PRL	False	45	PRL	False
59	PRL	False	45	PRL	False
60	PRL	False	51	PRL	False
61	PRL	False	51	PRL	False
62	PRL	False	46	PRL	False
63	PRL	False	46	PRL	False
64	PRL	False	29	PRL	False
65	PRL	False	29	PRL	False
66	PRL	False	58	PRL	False
67	PRL	False	58	PRL	False
68	PRL	False	44	PRL	False
69	PRL	False	44	PRL	False
70	PRL	False	43	PRL	False
71	PRL	False	43	PRL	False
72	PRL	False	64	PRL	False
73	PRL	False	64	PRL	False
74	PRL	False	62	PRL	False
75	PRL	False	62	PRL	False
76	PRL	False	60	PRL	False
77	PRL	False	60	PRL	False
78	PRL	False	74	PRL	False
79	PRL	False	74	PRL	False
80	PRL	False	7	PRL	False
81	PRL	False	7	PRL	False
82	PRL	False	4	PRL	False
83	PRL	False	4	PRL	False
84	PRL	False	71	PRL	False
85	PRL	False	71	PRL	False
86	PRL	False	61	PRL	False
87	PRL	False	61	PRL	False
88	PRL	False	69	PRL	False
89	PRL	False	69	PRL	False
90	PRL	False	24	PRL	False
91	PRL	False	24	PRL	False
92	PRL	False	90	PRL	False
93	PRL	False	90	PRL	False
94	PRL	False	41	PRL	False
95	PRL	False	41	PRL	False
96	PRL	False	52	PRL	False
97	PRL	False	52	PRL	False
98	PRL	False	95	PRL	False
99	PRL	False	95	PRL	False
100	PRL	False	67	PRL	False
101	PRL	False	67	PRL	False
102	PRL	False	79	PRL	False
103	PRL	False	79	PRL	False
104	PRL	False	76	PRL	False
105	PRL	False	76	PRL	False
106	PRL	False	31	PRL	False
107	PRL	False	31	PRL	False
108	PRL	False	22	PRL	False
109	PRL	False	22	PRL	False
110	PRL	False	89	PRL	False
111	PRL	False	89	PRL	False
112	PRL	False	49	PRL	False
113	PRL	False	49	PRL	False
114	PRL	False	47	PRL	False
115	PRL	False	47	PRL	False
116	PRL	False	88	PRL	False
117	PRL	False	88	PRL	False
118	PRL	False	92	PRL	False
119	PRL	False	92	PRL	False
120	PRL	False	33	PRL	False
121	PRL	False	33	PRL	False
122	PRL	False	53	PRL	False
123	PRL	False	53	PRL	False
124	PRL	False	83	PRL	False
125	PRL	False	83	PRL	False
126	PRL	False	122	PRL	False
127	PRL	False	122	PRL	False
128	PRL	False	70	PRL	False
129	PRL	False	70	PRL	False
130	PRL	False	93	PRL	False
131	PRL	False	93	PRL	False
132	PRL	False	97	PRL	False
133	PRL	False	97	PRL	False
134	PRL	False	85	PRL	False
135	PRL	False	85	PRL	False
136	PRL	False	117	PRL	False
137	PRL	False	117	PRL	False
138	PRL	False	100	PRL	False
139	PRL	False	100	PRL	False
140	PRL	False	112	PRL	False
141	PRL	False	112	PRL	False
142	PRL	False	113	PRL	False
143	PRL	False	113	PRL	False
144	PRL	False	133	PRL	False
145	PRL	False	133	PRL	False
146	PRL	False	84	PRL	False
147	PRL	False	84	PRL	False
148	PRL	False	106	PRL	False
149	PRL	False	106	PRL	False
150	PRL	False	87	PRL	False
151	PRL	False	87	PRL	False
152	PRL	False	20	PRL	False
153	PRL	False	20	PRL	False
154	PRL	False	132	PRL	False
155	PRL	False	132	PRL	False
156	PRL	False	42	PRL	False
157	PRL	False	42	PRL	False
158	PRL	False	72	PRL	False
159	PRL	False	72	PRL	False
160	PRL	False	57	PRL	False
161	PRL	False	57	PRL	False
162	PRL	False	151	PRL	False
163	PRL	False	151	PRL	False
164	PRL	False	78	PRL	False
165	PRL	False	78	PRL	False
166	PRL	False	137	PRL	False
167	PRL	False	137	PRL	False
168	PRL	False	167	PRL	False
169	PRL	False	167	PRL	False
170	PRL	False	160	PRL	False
171	PRL	False	160	PRL	False
172	PRL	False	38	PRL	False
173	PRL	False	38	PRL	False
174	PRL	False	104	PRL	False
175	PRL	False	104	PRL	False
176	PRL	False	63	PRL	False
177	PRL	False	63	PRL	False
178	PRL	False	59	PRL	False
179	PRL	False	59	PRL	False
180	PRL	False	115	PRL	False
181	PRL	False	115	PRL	False
182	PRL	False	150	PRL	False
183	PRL	False	150	PRL	False
184	PRL	False	168	PRL	False
185	PRL	False	168	PRL	False
186	PRL	False	129	PRL	False
187	PRL	False	129	PRL	False
188	PRL	False	187	PRL	False
189	PRL	False	187	PRL	False
190	PRL	False	91	PRL	False
191	PRL	False	91	PRL	False
192	PRL	False	135	PRL	False
193	PRL	False	135	PRL	False
194	PRL	False	158	PRL	False
195	PRL	False	158	PRL	False
196	PRL	False	86	PRL	False
