node	tissue	leaves	parent_node	parent_tissue	migration_event
0	PRL	False			
1	PRL	False	0	PRL	False
2	PRL	False	1	PRL	False
3	PRL	False	1	PRL	False
4	PRL	False	3	PRL	False
5	PRL	False	3	PRL	False
6	PRL	False	5	PRL	False
7	PRL	False	5	PRL	False
9	PRL	False	4	PRL	False
11	PRL	False	2	PRL	False
12	PRL	False	7	PRL	False
15	PRL	False	11	PRL	False
16	PRL	False	9	PRL	False
17	PRL	False	9	PRL	False
18	PRL	False	14	PRL	False
20	PRL	False	10	PRL	False
22	PRL	False	15	PRL	False
24	PRL	False	6	PRL	False
26	PRL	False	12	PRL	False
27	PRL	False	12	PRL	False
28	PRL	False	17	PRL	False
31	PRL	False	28	PRL	False
37	PRL	False	31	PRL	False
39	PRL	False	20	PRL	False
42	PRL	False	18	PRL	False
44	PRL	False	29	PRL	False
46	PRL	False	42	PRL	False
47	PRL	False	42	PRL	False
49	PRL	False	44	PRL	False
53	PRL	False	27	PRL	False
54	PRL	False	22	PRL	False
55	PRL	False	22	PRL	False
59	PRL	False	41	PRL	False
62	PRL	False	52	PRL	False
65	PRL	False	8	PRL	False
73	PRL	False	57	PRL	False
77	PRL	False	49	PRL	False
82	PRL	False	55	PRL	False
83	PRL	False	55	PRL	False
90	PRL	False	47	PRL	False
91	PRL	False	47	PRL	False
98	PRL	False	37	PRL	False
99	PRL	False	37	PRL	False
105	PRL	False	53	PRL	False
124	PRL	False	73	PRL	False
125	PRL	False	73	PRL	False
134	PRL	False	84	PRL	False
138	PRL	False	134	PRL	False
141	PRL	False	16	PRL	False
142	PRL	False	127	PRL	False
145	PRL	False	46	PRL	False
149	PRL	False	142	PRL	False
155	PRL	False	117	PRL	False
156	PRL	False	77	PRL	False
157	PRL	False	77	PRL	False
162	PRL	False	150	PRL	False
171	PRL	False	61	PRL	False
172	PRL	False	98	PRL	False
173	PRL	False	98	PRL	False
179	PRL	False	171	PRL	False
183	PRL	False	162	PRL	False
187	PRL	False	139	PRL	False
190	PRL	False	115	PRL	False
201	PRL	False	92	PRL	False
207	PRL	False	198	PRL	False
212	PRL	False	144	PRL	False
225	PRL	False	145	PRL	False
235	PRL	False	214	PRL	False
256	PRL	False	172	PRL	False
261	PRL	False	189	PRL	False
273	PRL	False	233	PRL	False
283	PRL	False	225	PRL	False
318	PRL	False	282	PRL	False
328	PRL	False	82	PRL	False
341	PRL	False	164	PRL	False
345	PRL	False	257	PRL	False
361	PRL	False	314	PRL	False
438	PRL	True	325	PRL	False
441	PRL	False	266	PRL	False
455	PRL	False	183	PRL	False
458	PRL	False	178	PRL	False
470	PRL	False	70	PRL	False
541	PRL	False	203	PRL	False
572	PRL	False	256	PRL	False
603	PRL	False	359	PRL	False
639	PRL	False	335	PRL	False
653	PRL	False	646	PRL	False
654	PRL	False	381	PRL	False
881	PRL	False	773	PRL	False
892	PRL	False	585	PRL	False
1015	PRL	False	948	PRL	False
1033	PRL	False	837	PRL	False
1181	PRL	False	313	PRL	False
1310	PRL	False	900	PRL	False
1405	PRL	True	1181	PRL	False
1457	PRL	True	1159	PRL	False
1653	PRL	False	1184	PRL	False
2174	PRL	False	2059	PRL	False
3087	PRL	True	1740	PRL	False
3914	PRL	False	990	PRL	False
4193	PRL	True	3902	PRL	False
4209	PRL	True	3261	PRL	False
4272	PRL	False	3184	PRL	False
4751	PRL	True	2262	PRL	False
5130	PRL	True	2215	PRL	False
5287	PRL	True	1785	PRL	False
5669	PRL	True	4835	PRL	False
6113	PRL	True	3400	PRL	False
7068	PRL	False	5194	PRL	False
7109	PRL	True	5994	PRL	False
7203	PRL	True	4882	PRL	False
7789	PRL	True	6559	PRL	False
7989	PRL	True	7405	PRL	False
8347	PRL	True	7068	PRL	False
8626	PRL	True	3754	PRL	False
9124	PRL	False	4885	PRL	False
9390	PRL	True	7779	PRL	False
9519	PRL	True	1713	PRL	False
9533	PRL	True	5516	PRL	False
9650	PRL	True	8769	PRL	False
9816	PRL	True	8142	PRL	False
9964	PRL	True	4772	PRL	False
10006	PRL	True	4241	PRL	False
10204	PRL	True	2316	PRL	False
10391	PRL	True	3118	PRL	False
10635	PRL	True	4915	PRL	False
10777	LGR	True	7283	LGR	False
10985	PRL	False	10168	PRL	False
11095	PRL	True	10351	PRL	False
11176	PRL	True	4382	PRL	False
11278	PRL	True	8369	PRL	False
11387	PRL	True	10969	PRL	False
11649	PRL	True	6194	PRL	False
11709	PRL	True	7467	PRL	False
11834	PRL	True	10150	PRL	False
12026	PRL	True	10151	PRL	False
12080	PRL	True	8037	PRL	False
12237	PRL	True	9385	PRL	False
12357	PRL	True	5982	PRL	False
12594	PRL	True	5628	PRL	False
12601	PRL	True	2947	PRL	False
12642	PRL	True	12118	PRL	False
12935	PRL	True	4649	PRL	False
13307	PRL	True	11541	PRL	False
13332	PRL	True	11660	PRL	False
13415	PRL	True	10741	PRL	False
13458	PRL	True	12597	PRL	False
13470	PRL	True	6998	PRL	False
13648	PRL	True	4091	PRL	False
13841	PRL	True	9966	PRL	False
13893	PRL	True	8251	PRL	False
13926	PRL	True	7629	PRL	False
14005	PRL	True	4222	PRL	False
14035	PRL	True	12218	PRL	False
14289	PRL	True	13066	PRL	False
14296	PRL	True	12711	PRL	False
14357	PRL	True	6704	PRL	False
14517	PRL	True	12867	PRL	False
14705	PRL	True	8866	PRL	False
14758	PRL	True	9542	PRL	False
14908	PRL	True	7771	PRL	False
14942	PRL	True	7829	PRL	False
15284	PRL	True	13937	PRL	False
15352	PRL	True	14242	PRL	False
15411	PRL	True	1095	PRL	False
15580	PRL	True	12681	PRL	False
15638	PRL	True	6983	PRL	False
15942	PRL	True	14231	PRL	False
16011	PRL	True	5600	PRL	False
16154	PRL	True	12274	PRL	False
16159	PRL	True	15762	PRL	False
16189	PRL	True	12877	PRL	False
16255	PRL	True	9419	PRL	False
16343	PRL	True	11473	PRL	False
16468	PRL	True	10703	PRL	False
16568	PRL	True	7921	PRL	False
16984	PRL	True	10985	PRL	False
16985	PRL	True	10985	PRL	False
17189	PRL	True	9474	PRL	False
17272	PRL	True	10126	PRL	False
17327	PRL	True	12193	PRL	False
17396	PRL	True	12467	PRL	False
17437	PRL	True	17051	PRL	False
17833	PRL	True	15099	PRL	False
18089	PRL	True	8981	PRL	False
