name,mutrate,num_samples,migration_matrix,num_uniq_mutations,uniq_mut_per_site,total_mut_sites,avg_mut_sites_per_sample,avg_proportion_mut_sites,total_dropout,dropout_per_sample,avg_mutation_age,true_migrations,inferred_migrations,proportion
sim0,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,69,6.9000,453,4.5300,.4530,0,0,3.72835,318,,
sim10,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,,,0,0,0,0,0,,0,,
sim11,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,72,7.2000,479,4.7900,.4790,4,.0400,4.81309,0,,
sim12,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,65,6.5000,388,3.8800,.3880,5,.0500,4.62386,311,26,.0836
sim13,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,,,0,0,0,0,0,,0,,
sim14,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,63,6.3000,527,5.2700,.5270,4,.0400,4.773,0,,
sim15,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,71,7.1000,428,4.2800,.4280,0,0,4.15347,348,6,.0172
sim16,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,,,0,0,0,0,0,,0,,
sim17,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,,,0,0,0,0,0,,0,,
sim18,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,65,6.5000,483,4.8300,.4830,1,.0100,3.98607,449,,
sim19,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,61,6.1000,416,4.1600,.4160,103,1.0300,4.0821,385,,
sim1,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,67,6.7000,538,5.3800,.5380,0,0,5.31485,330,17,.0515
sim2,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,64,6.4000,409,4.0900,.4090,0,0,3.68225,304,9,.0296
sim3,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,61,6.1000,566,5.6600,.5660,0,0,3.73537,335,11,.0328
sim4,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,65,6.5000,514,5.1400,.5140,0,0,4.39622,294,11,.0374
sim5,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,68,6.8000,322,3.2200,.3220,1,.0100,3.77737,356,25,.0702
sim6,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,65,6.5000,403,4.0300,.4030,0,0,4.05328,327,14,.0428
