name,mutrate,num_samples,migration_matrix,num_uniq_mutations,uniq_mut_per_site,total_mut_sites,avg_mut_sites_per_sample,avg_proportion_mut_sites,total_dropout,dropout_per_sample,avg_mutation_age,true_migrations,inferred_migrations,proportion
sim0,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,64,6.4000,413,4.1300,.4130,0,0,3.84702,5,11,2.2000
sim10,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,65,6.5000,505,5.0500,.5050,1,.0100,3.94235,8,12,1.5000
sim11,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,60,6.0000,634,6.3400,.6340,9,.0900,5.12924,13,11,.8461
sim12,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,71,7.1000,364,3.6400,.3640,0,0,4.80174,10,28,2.8000
sim13,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,71,7.1000,393,3.9300,.3930,0,0,4.92316,5,26,5.2000
sim14,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,58,5.8000,531,5.3100,.5310,4,.0400,4.13744,9,9,1.0000
sim15,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,71,7.1000,450,4.5000,.4500,4,.0400,3.95343,7,17,2.4285
sim16,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,,,0,0,0,0,0,,0,,
sim17,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,68,6.8000,433,4.3300,.4330,3,.0300,3.84942,4,15,3.7500
sim18,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/true_migration_prob_matrix.csv,60,6.0000,548,5.4800,.5480,0,0,4.55023,6,13,2.1666
