name,mutrate,num_samples,migration_matrix,num_uniq_mutations,uniq_mut_per_site,total_mut_sites,avg_mut_sites_per_sample,avg_proportion_mut_sites,total_dropout,dropout_per_sample,avg_mutation_age,true_migrations,inferred_migrations,proportion
sim0,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,72,7.2000,379,3.7900,.3790,5,.0500,3.94378,25,1,.0400
sim10,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,61,6.1000,406,4.0600,.4060,0,0,3.56339,16,0,0
sim11,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,71,7.1000,351,3.5100,.3510,0,0,3.40986,18,1,.0555
sim12,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,,,0,0,0,0,0,,0,,
sim13,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,,,0,0,0,0,0,,0,,
sim14,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,70,7.0000,368,3.6800,.3680,3,.0300,4.11555,20,0,0
sim15,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,,,0,0,0,0,0,,0,,
sim16,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,70,7.0000,472,4.7200,.4720,1,.0100,4.78404,0,,
sim17,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,60,6.0000,397,3.9700,.3970,0,0,3.84777,23,2,.0869
sim18,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,68,6.8000,454,4.5400,.4540,0,0,4.74864,18,1,.0555
sim19,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,,,0,0,0,0,0,,0,,
sim1,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,71,7.1000,407,4.0700,.4070,0,0,3.47025,15,1,.0666
sim2,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,59,5.9000,523,5.2300,.5230,0,0,4.18941,23,1,.0434
sim3,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,66,6.6000,439,4.3900,.4390,7,.0700,4.18943,17,0,0
sim4,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,59,5.9000,446,4.4600,.4460,0,0,4.61016,22,0,0
sim5,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,66,6.6000,558,5.5800,.5580,0,0,4.12083,19,1,.0526
sim6,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,59,5.9000,649,6.4900,.6490,0,0,4.52637,27,2,.0740
sim7,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,67,6.7000,487,4.8700,.4870,0,0,3.95081,18,0,0
sim8,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,73,7.3000,407,4.0700,.4070,6,.0600,4.00131,20,0,0
sim9,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,61,6.1000,432,4.3200,.4320,0,0,4.40542,20,1,.0500
sim20,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,68,6.8000,516,5.1600,.5160,0,0,4.15494,17,1,.0588
sim21,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,64,6.4000,327,3.2700,.3270,4,.0400,5.06422,19,2,.1052
sim22,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,69,6.9000,408,4.0800,.4080,0,0,3.61252,18,0,0
sim23,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,63,6.3000,559,5.5900,.5590,0,0,5.92286,21,3,.1428
sim24,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,69,6.9000,418,4.1800,.4180,0,0,3.75938,20,0,0
sim25,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,60,6.0000,521,5.2100,.5210,0,0,5.98285,14,1,.0714
sim26,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,72,7.2000,499,4.9900,.4990,0,0,5.03794,23,1,.0434
sim27,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,66,6.6000,387,3.8700,.3870,0,0,3.602,18,2,.1111
sim28,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,68,6.8000,477,4.7700,.4770,0,0,3.76,25,0,0
sim29,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,78,7.8000,390,3.9000,.3900,0,0,4.1279,24,1,.0416
sim30,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,59,5.9000,532,5.3200,.5320,0,0,5.49317,23,0,0
sim31,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,59,5.9000,403,4.0300,.4030,0,0,3.79927,24,2,.0833
sim32,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,67,6.7000,425,4.2500,.4250,3,.0300,3.77615,27,0,0
sim33,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,63,6.3000,523,5.2300,.5230,4,.0400,4.74767,22,3,.1363
sim34,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,58,5.8000,598,5.9800,.5980,1,.0100,6.43195,17,2,.1176
sim35,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,64,6.4000,474,4.7400,.4740,0,0,3.44908,24,0,0
sim36,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,70,7.0000,467,4.6700,.4670,0,0,4.29759,25,0,0
sim37,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,59,5.9000,544,5.4400,.5440,0,0,4.07804,19,1,.0526
sim38,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,68,6.8000,408,4.0800,.4080,0,0,4.10317,21,4,.1904
sim39,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,65,6.5000,427,4.2700,.4270,0,0,4.22275,33,1,.0303
sim40,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,61,6.1000,525,5.2500,.5250,0,0,4.10074,17,0,0
sim41,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,71,7.1000,408,4.0800,.4080,0,0,4.27924,23,3,.1304
sim42,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,63,6.3000,406,4.0600,.4060,0,0,3.83073,20,2,.1000
sim43,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,63,6.3000,423,4.2300,.4230,0,0,4.0441,18,1,.0555
sim44,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,74,7.4000,388,3.8800,.3880,3,.0300,4.15346,13,0,0
sim45,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,73,7.3000,384,3.8400,.3840,0,0,3.31502,27,1,.0370
sim46,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,64,6.4000,449,4.4900,.4490,0,0,3.61654,23,0,0
sim47,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,64,6.4000,383,3.8300,.3830,0,0,4.00435,21,3,.1428
sim48,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,70,7.0000,449,4.4900,.4490,1,.0100,3.52653,24,1,.0416
sim49,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,63,6.3000,468,4.6800,.4680,0,0,3.29454,21,2,.0952
sim50,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,68,6.8000,484,4.8400,.4840,0,0,4.78592,23,0,0
sim51,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,66,6.6000,462,4.6200,.4620,0,0,3.4285,19,0,0
sim52,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,65,6.5000,574,5.7400,.5740,3,.0300,5.47848,20,0,0
sim53,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,64,6.4000,403,4.0300,.4030,0,0,4.17049,13,0,0
sim54,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,67,6.7000,446,4.4600,.4460,2,.0200,3.73736,23,0,0
sim55,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,74,7.4000,367,3.6700,.3670,0,0,3.57929,27,0,0
sim56,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,66,6.6000,481,4.8100,.4810,0,0,4.2563,16,0,0
sim57,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,63,6.3000,575,5.7500,.5750,1,.0100,5.08953,12,0,0
sim58,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,61,6.1000,475,4.7500,.4750,3,.0300,4.25049,17,3,.1764
sim59,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,61,6.1000,572,5.7200,.5720,0,0,4.00549,26,3,.1153
sim60,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,67,6.7000,449,4.4900,.4490,0,0,3.67479,29,3,.1034
sim61,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,59,5.9000,434,4.3400,.4340,2,.0200,3.6028,18,0,0
sim62,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,65,6.5000,512,5.1200,.5120,0,0,3.94899,25,1,.0400
sim63,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,72,7.2000,425,4.2500,.4250,0,0,3.94537,25,2,.0800
sim64,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,58,5.8000,653,6.5300,.6530,0,0,5.14395,18,2,.1111
