name,mutrate,num_samples,migration_matrix,num_uniq_mutations,uniq_mut_per_site,total_mut_sites,avg_mut_sites_per_sample,avg_proportion_mut_sites,total_dropout,dropout_per_sample,avg_mutation_age,true_migrations,inferred_migrations,proportion
sim0,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,68,6.8000,376,3.7600,.3760,0,0,4.55794,0,0,
sim10,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,52,5.2000,634,6.3400,.6340,0,0,4.05932,0,2,
sim11,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,54,5.4000,668,6.6800,.6680,1,.0100,5.90409,0,1,
sim12,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,67,6.7000,494,4.9400,.4940,0,0,4.96608,0,1,
sim13,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,61,6.1000,337,3.3700,.3370,0,0,3.90677,0,1,
sim14,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,61,6.1000,565,5.6500,.5650,4,.0400,4.25627,0,1,
sim15,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,75,7.5000,492,4.9200,.4920,0,0,4.80837,0,1,
sim16,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,62,6.2000,567,5.6700,.5670,0,0,5.56354,1,4,4.0000
sim17,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,,,0,0,0,0,0,,0,,
sim18,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,70,7.0000,578,5.7800,.5780,0,0,3.97449,1,2,2.0000
sim19,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,73,7.3000,369,3.6900,.3690,0,0,4.4472,0,2,
sim1,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,64,6.4000,463,4.6300,.4630,0,0,3.99182,0,1,
sim2,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,66,6.6000,335,3.3500,.3350,0,0,3.44899,0,,
sim3,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,60,6.0000,401,4.0100,.4010,0,0,3.51143,0,4,
sim4,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,65,6.5000,542,5.4200,.5420,5,.0500,3.52892,0,1,
sim5,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,62,6.2000,524,5.2400,.5240,0,0,4.09097,0,1,
sim6,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,62,6.2000,520,5.2000,.5200,4,.0400,4.31023,0,0,
sim7,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,65,6.5000,429,4.2900,.4290,1,.0100,3.97449,1,2,2.0000
sim8,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,64,6.4000,475,4.7500,.4750,0,0,3.80491,0,,
sim9,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,64,6.4000,416,4.1600,.4160,0,0,3.78045,0,,
sim20,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,65,6.5000,529,5.2900,.5290,0,0,4.4385,1,4,4.0000
sim21,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,65,6.5000,474,4.7400,.4740,1,.0100,5.35172,0,3,
sim22,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,64,6.4000,447,4.4700,.4470,3,.0300,3.62094,0,1,
sim23,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,66,6.6000,455,4.5500,.4550,0,0,3.93406,0,,
sim24,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,64,6.4000,510,5.1000,.5100,4,.0400,4.54878,0,1,
sim25,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,57,5.7000,624,6.2400,.6240,0,0,3.61425,1,1,1.0000
sim26,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,70,7.0000,443,4.4300,.4430,16,.1600,3.55495,0,1,
sim27,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,58,5.8000,473,4.7300,.4730,91,.9100,3.70192,0,1,
sim28,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,73,7.3000,408,4.0800,.4080,4,.0400,3.23801,0,0,
sim29,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,67,6.7000,450,4.5000,.4500,0,0,5.21361,0,1,
sim30,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,69,6.9000,509,5.0900,.5090,0,0,4.83606,0,4,
sim31,0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264 0.1264,100,data/ultrarare_migration_prob_matrix.csv,49,4.9000,683,6.8300,.6830,5,.0500,4.83355,0,0,
