name,mutrate,max_indel_size,num_samples,migration_matrix,num_mutations,true_migrations,inferred_migrations,proportion
sim_01_10_100_equal,0.01,10,100,data/equal_migration_prob_matrix.csv,22,75,7,.0933
sim_01_11_100_equal,0.01,11,100,data/equal_migration_prob_matrix.csv,35,75,11,.1466
sim_01_12_100_equal,0.01,12,100,data/equal_migration_prob_matrix.csv,16,75,6,.0800
sim_01_13_100_equal,0.01,13,100,data/equal_migration_prob_matrix.csv,18,75,5,.0666
sim_01_14_100_equal,0.01,14,100,data/equal_migration_prob_matrix.csv,19,75,5,.0666
sim_01_15_100_equal,0.01,15,100,data/equal_migration_prob_matrix.csv,25,75,10,.1333
sim_01_16_100_equal,0.01,16,100,data/equal_migration_prob_matrix.csv,28,75,17,.2266
sim_01_17_100_equal,0.01,17,100,data/equal_migration_prob_matrix.csv,15,75,12,.1600
sim_01_18_100_equal,0.01,18,100,data/equal_migration_prob_matrix.csv,18,75,7,.0933
sim_01_19_100_equal,0.01,19,100,data/equal_migration_prob_matrix.csv,22,75,3,.0400
sim_01_20_100_equal,0.01,20,100,data/equal_migration_prob_matrix.csv,18,75,8,.1066
sim_01_3_100_equal,0.01,3,100,data/equal_migration_prob_matrix.csv,14,75,4,.0533
sim_01_4_100_equal,0.01,4,100,data/equal_migration_prob_matrix.csv,19,75,6,.0800
sim_01_5_100_equal,0.01,5,100,data/equal_migration_prob_matrix.csv,22,75,7,.0933
sim_015_3_100_equal,0.015,3,100,data/equal_migration_prob_matrix.csv,18,75,11,.1466
sim_015_4_100_equal,0.015,4,100,data/equal_migration_prob_matrix.csv,25,75,6,.0800
sim_01_6_100_equal,0.01,6,100,data/equal_migration_prob_matrix.csv,20,75,9,.1200
sim_01_7_100_equal,0.01,7,100,data/equal_migration_prob_matrix.csv,19,75,7,.0933
sim_01_8_100_equal,0.01,8,100,data/equal_migration_prob_matrix.csv,14,75,8,.1066
sim_01_9_100_equal,0.01,9,100,data/equal_migration_prob_matrix.csv,24,75,8,.1066
sim_015_10_100_equal,0.015,10,100,data/equal_migration_prob_matrix.csv,23,75,6,.0800
sim_015_11_100_equal,0.015,11,100,data/equal_migration_prob_matrix.csv,26,75,11,.1466
sim_015_12_100_equal,0.015,12,100,data/equal_migration_prob_matrix.csv,25,75,5,.0666
sim_015_13_100_equal,0.015,13,100,data/equal_migration_prob_matrix.csv,19,75,6,.0800
sim_015_14_100_equal,0.015,14,100,data/equal_migration_prob_matrix.csv,33,75,13,.1733
sim_015_15_100_equal,0.015,15,100,data/equal_migration_prob_matrix.csv,15,75,10,.1333
sim_015_16_100_equal,0.015,16,100,data/equal_migration_prob_matrix.csv,20,75,12,.1600
sim_015_17_100_equal,0.015,17,100,data/equal_migration_prob_matrix.csv,28,75,9,.1200
sim_015_18_100_equal,0.015,18,100,data/equal_migration_prob_matrix.csv,23,75,10,.1333
sim_015_19_100_equal,0.015,19,100,data/equal_migration_prob_matrix.csv,25,75,4,.0533
sim_015_20_100_equal,0.015,20,100,data/equal_migration_prob_matrix.csv,25,75,9,.1200
sim_015_5_100_equal,0.015,5,100,data/equal_migration_prob_matrix.csv,21,75,5,.0666
sim_015_6_100_equal,0.015,6,100,data/equal_migration_prob_matrix.csv,22,75,10,.1333
sim_015_7_100_equal,0.015,7,100,data/equal_migration_prob_matrix.csv,32,75,5,.0666
sim_015_8_100_equal,0.015,8,100,data/equal_migration_prob_matrix.csv,26,75,11,.1466
sim_015_9_100_equal,0.015,9,100,data/equal_migration_prob_matrix.csv,23,75,12,.1600
sim_02_3_100_equal,0.02,3,100,data/equal_migration_prob_matrix.csv,24,75,13,.1733
sim_02_4_100_equal,0.02,4,100,data/equal_migration_prob_matrix.csv,19,75,5,.0666
sim_02_5_100_equal,0.02,5,100,data/equal_migration_prob_matrix.csv,17,75,5,.0666
sim_02_6_100_equal,0.02,6,100,data/equal_migration_prob_matrix.csv,24,75,6,.0800
sim_02_10_100_equal,0.02,10,100,data/equal_migration_prob_matrix.csv,29,75,7,.0933
sim_02_11_100_equal,0.02,11,100,data/equal_migration_prob_matrix.csv,27,75,14,.1866
sim_02_12_100_equal,0.02,12,100,data/equal_migration_prob_matrix.csv,30,75,11,.1466
sim_02_13_100_equal,0.02,13,100,data/equal_migration_prob_matrix.csv,27,75,2,.0266
sim_02_14_100_equal,0.02,14,100,data/equal_migration_prob_matrix.csv,23,75,10,.1333
sim_02_15_100_equal,0.02,15,100,data/equal_migration_prob_matrix.csv,23,75,8,.1066
sim_02_16_100_equal,0.02,16,100,data/equal_migration_prob_matrix.csv,19,75,2,.0266
sim_02_17_100_equal,0.02,17,100,data/equal_migration_prob_matrix.csv,27,75,6,.0800
sim_02_18_100_equal,0.02,18,100,data/equal_migration_prob_matrix.csv,29,75,5,.0666
sim_02_19_100_equal,0.02,19,100,data/equal_migration_prob_matrix.csv,27,75,10,.1333
sim_02_20_100_equal,0.02,20,100,data/equal_migration_prob_matrix.csv,29,75,12,.1600
sim_025_3_100_equal,0.025,3,100,data/equal_migration_prob_matrix.csv,28,75,10,.1333
sim_025_4_100_equal,0.025,4,100,data/equal_migration_prob_matrix.csv,25,75,10,.1333
sim_025_5_100_equal,0.025,5,100,data/equal_migration_prob_matrix.csv,25,75,9,.1200
sim_025_6_100_equal,0.025,6,100,data/equal_migration_prob_matrix.csv,27,75,15,.2000
sim_025_7_100_equal,0.025,7,100,data/equal_migration_prob_matrix.csv,27,75,11,.1466
sim_025_8_100_equal,0.025,8,100,data/equal_migration_prob_matrix.csv,31,75,3,.0400
