mutation_rate,sample_size,migration_matrix
0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01,100,data/equal_migration_prob_matrix.csv
0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,,data/true_migration_prob_matrix.csv
1 1 1 1 1 1 1 1 1 1,,data/rare_migration_prob_matrix.csv
1 0.01 1 0.01 1 0.01 1 0.01 1 0.01,,
1 1 1 1 0.1 0.1 0.1 0.01 0.01 0.01,,
1 1 1 1 1 0.01 0.01 0.01 0.01 0.01,,
1 1 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01,,
1 0.1 1 0.1 1 0.1 1 0.1 1 0.1,,
1 0.01 0.01 1 0.01 0.01 1 0.01 0.01 1,,
1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,,
