name,mutrate,num_samples,migration_matrix,num_uniq_mutations,uniq_mut_per_site,total_mut_sites,avg_mut_sites_per_sample,avg_proportion_mut_sites,total_dropout,dropout_per_sample,true_migrations,inferred_migrations,proportion
sim0,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,30,3.0000,635,6.3500,.6350,0,0,3,1,.3333
sim10,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,,,0,0,0,0,0,0,,
sim11,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,,,0,0,0,0,0,0,,
sim12,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,,,0,0,0,0,0,0,,
sim13,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,,,0,0,0,0,0,0,,
sim14,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,28,2.8000,560,5.6000,.5600,0,0,3,1,.3333
sim15,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,26,2.6000,592,5.9200,.5920,0,0,3,0,0
sim16,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,34,3.4000,579,5.7900,.5790,0,0,3,3,1.0000
sim17,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,29,2.9000,641,6.4100,.6410,0,0,3,2,.6666
sim18,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,34,3.4000,565,5.6500,.5650,2,.0200,3,3,1.0000
sim19,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,32,3.2000,548,5.4800,.5480,0,0,3,0,0
sim1,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,25,2.5000,652,6.5200,.6520,8,.0800,3,2,.6666
sim2,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,28,2.8000,500,5.0000,.5000,0,0,3,2,.6666
sim3,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,32,3.2000,517,5.1700,.5170,0,0,3,1,.3333
sim4,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,30,3.0000,534,5.3400,.5340,0,0,3,0,0
sim5,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,33,3.3000,690,6.9000,.6900,2,.0200,3,2,.6666
sim6,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,44,4.4000,495,4.9500,.4950,0,0,3,0,0
