mutrate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,avg_mutrate
"0.12639320225002104,0.12639320225002104,0.12639320225002104,0.12639320225002104,0.12639320225002104,0.12639320225002104,0.12639320225002104,0.12639320225002104,0.12639320225002104,0.12639320225002104",0.5454,0.0,0.8181,0.6363,0.5454,0.909,0.7272,0.0909,0.4545,0.909,0.8181,0.8181,0.0909,0.6363,0.4545,0.8181,0.8181,1.0909,0.0,0.7272,0.6363,0.3636,0.1818,0.4545,0.7272,0.2727,0.8181,0.2727,0.6363,0.0909,0.6363,0.0909,0.6363,0.8181,0.0909,0.7272,0.7272,0.5454,0.7272,0.6363,0.5454,0.8181,0.8181,0.909,0.4545,0.6363,0.2727,1.0,1.0,0.0909,0.5454,0.909,0.7272,0.8181,0.0,0.909,0.0909,0.0909,0.7272,1.0909,1.0,0.0909,0.0909,0.7272,1.0,0.7272,0.7272,0.909,0.5454,0.909,1.0,0.8181,0.909,0.0909,0.7272,0.8181,0.6363,0.909,0.5454,0.6363,0.0909,0.8181,0.6363,0.3636,0.7272,0.7272,0.6363,0.5454,0.909,0.909,0.1818,0.1818,0.7272,1.2727,0.909,0.2727,0.7272,0.4545,0.1818,0.6363,0.12639320225002101
"0.17360679774997897,0.17360679774997897,0.17360679774997897,0.17360679774997897,0.17360679774997897,0.17360679774997897,0.17360679774997897,0.17360679774997897,0.17360679774997897,0.17360679774997897",0.4545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7272,0.2727,0.2727,0.3636,0.0909,0.6363,0.2727,0.1818,0.0,1.0,0.8181,0.0909,0.3636,1.1818,0.7272,0.6363,0.8181,1.0909,0.5454,0.0,0.8181,0.3636,0.2727,0.6363,0.8181,0.4545,0.0909,0.2727,0.5454,0.7272,0.7272,0.3636,1.0,1.0,0.6363,0.0909,1.0,0.8181,0.3636,1.0909,0.7272,0.0,0.3636,0.4545,0.8181,0.8181,0.0909,0.1818,0.7272,0.3636,0.1818,0.6363,1.0,0.7272,0.5454,0.909,0.0909,0.6363,0.4545,0.6363,1.0,1.0,1.0909,0.0909,0.2727,1.1818,0.0,0.4545,0.7272,0.6363,0.5454,0.7272,0.7272,0.2727,0.5454,0.3636,0.3636,0.5454,0.8181,0.4545,0.5454,1.0,0.7272,0.5454,0.0909,1.0909,0.8181,0.909,0.3636,0.17360679774997895
"0.09721359549995795,0.09721359549995795,0.09721359549995795,0.09721359549995795,0.09721359549995795,0.09721359549995795,0.09721359549995795,0.09721359549995795,0.09721359549995795,0.09721359549995795",1.0,0.0,0.6363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181,0.6363,0.4545,0.4545,0.0909,0.909,0.6363,0.4545,0.8181,0.3636,0.2727,0.5454,0.4545,0.3636,0.1818,0.4545,0.8181,0.8181,0.6363,0.7272,0.2727,0.909,0.3636,0.8181,0.0909,0.4545,0.8181,0.5454,0.1818,0.0,0.8181,0.7272,0.2727,0.3636,0.1818,0.7272,0.4545,0.8181,0.909,0.7272,0.0909,0.8181,1.0,0.8181,0.7272,1.0,0.5454,0.6363,0.0909,0.8181,0.6363,0.5454,0.8181,0.6363,0.8181,0.1818,0.4545,0.6363,0.6363,0.909,0.4545,0.4545,0.8181,1.0,0.5454,0.5454,0.1818,0.1818,0.0909,0.5454,0.7272,0.8181,0.8181,0.1818,0.7272,0.6363,0.4545,0.5454,0.5454,1.0,0.0909,0.2727,0.0909,0.5454,0.4545,0.2727,0.7272,0.0909,0.6363,0.09721359549995796
"0.13600467382344866,0.13600467382344866,0.13600467382344866,0.13600467382344866,0.13600467382344866,0.13600467382344866,0.13600467382344866,0.13600467382344866,0.13600467382344866,0.13600467382344866",0.6363,0.0,0.0,0.0,0.6363,0.0909,0.0,0.8181,0.0,0.0,0.1818,0.0909,0.8181,1.0909,0.6363,0.2727,0.909,0.4545,1.0,0.909,0.6363,0.8181,0.0909,0.4545,0.0909,0.4545,0.8181,0.8181,0.0909,0.4545,1.0,0.4545,0.5454,0.8181,0.0909,0.7272,0.6363,0.909,0.6363,0.4545,0.7272,0.3636,0.6363,0.6363,0.909,0.3636,0.0909,0.1818,0.0909,0.7272,0.5454,0.1818,0.0909,0.6363,0.5454,0.2727,1.0,0.8181,0.1818,0.4545,0.2727,0.7272,0.8181,0.0909,0.6363,0.5454,0.6363,0.2727,0.6363,0.6363,0.0,0.2727,0.8181,0.909,0.4545,0.7272,0.3636,0.8181,0.6363,1.0,0.8181,0.6363,0.5454,0.0909,0.909,0.0909,0.909,0.6363,0.0909,0.4545,0.6363,0.2727,0.6363,0.5454,0.5454,0.5454,0.5454,0.2727,0.0909,0.909,0.13600467382344864
"0.1152475842498528,0.1152475842498528,0.1152475842498528,0.1152475842498528,0.1152475842498528,0.1152475842498528,0.1152475842498528,0.1152475842498528,0.1152475842498528,0.1152475842498528",0.7272,0.7272,0.7272,0.0,0.0,0.3636,0.0,0.7272,0.909,0.0,0.8181,0.1818,0.909,0.909,0.6363,0.2727,1.0,0.0909,0.0909,0.4545,0.4545,0.4545,0.6363,0.6363,0.8181,0.909,0.4545,0.4545,0.909,0.3636,1.0,1.0,0.6363,0.6363,0.7272,0.6363,0.3636,0.5454,0.2727,1.0909,0.909,0.0,0.0909,0.6363,0.909,0.2727,0.7272,0.5454,0.5454,0.5454,0.0909,0.7272,0.0909,0.909,0.4545,0.5454,0.3636,0.2727,0.909,0.6363,1.0,0.8181,0.7272,0.4545,0.3636,0.6363,0.7272,0.3636,1.0,0.2727,0.5454,1.0,0.909,0.909,0.7272,0.0909,0.909,0.909,0.909,0.4545,0.8181,0.909,0.909,0.8181,0.6363,0.8181,0.1818,1.0,0.909,0.0909,0.7272,0.5454,0.8181,0.4545,0.8181,0.5454,0.1818,1.0,0.0909,0.909,0.11524758424985279
"0.12664044701158697,0.12664044701158697,0.12664044701158697,0.12664044701158697,0.12664044701158697,0.12664044701158697,0.12664044701158697,0.12664044701158697,0.12664044701158697,0.12664044701158697",0.6363,0.0,0.7272,0.6363,0.0,0.2727,0.0909,0.3636,0.7272,0.0,0.5454,0.6363,0.7272,0.4545,0.5454,0.7272,0.0909,0.5454,0.4545,0.7272,0.909,0.0909,0.6363,0.7272,0.8181,0.5454,0.8181,1.0909,0.7272,0.5454,0.5454,0.2727,0.0909,0.1818,0.5454,0.8181,0.909,0.0909,0.8181,0.0909,0.0909,0.5454,0.6363,0.1818,0.6363,0.8181,0.4545,0.8181,0.909,0.909,0.1818,1.3636,0.6363,0.8181,0.4545,1.0,0.8181,0.1818,0.8181,0.8181,0.5454,0.0909,0.6363,0.8181,0.1818,0.909,0.0909,0.2727,0.4545,0.8181,0.7272,0.3636,0.8181,0.3636,0.6363,0.5454,0.6363,0.7272,0.909,0.4545,0.1818,0.8181,0.909,0.3636,0.4545,0.0909,0.3636,0.8181,0.4545,0.3636,0.5454,0.5454,0.2727,0.4545,0.6363,0.7272,0.4545,0.0909,0.1818,0.909,0.12664044701158697
"0.12083135745136342,0.12083135745136342,0.12083135745136342,0.12083135745136342,0.12083135745136342,0.12083135745136342,0.12083135745136342,0.12083135745136342,0.12083135745136342,0.12083135745136342",0.7272,0.3636,0.7272,0.0,0.0,0.0909,0.3636,0.6363,0.6363,0.1818,0.5454,1.0,0.2727,1.0,0.6363,0.3636,0.7272,0.1818,0.6363,0.3636,0.8181,0.4545,0.4545,1.1818,0.7272,0.6363,0.0909,0.5454,0.909,0.7272,0.909,0.909,0.909,0.5454,0.7272,0.3636,0.6363,0.8181,0.0,0.7272,0.7272,0.8181,0.3636,0.2727,1.2727,0.909,0.4545,0.2727,0.6363,0.3636,0.7272,0.0909,0.1818,0.0909,0.4545,1.0,0.0909,1.2727,0.5454,0.8181,0.1818,0.6363,0.5454,0.0909,0.909,0.7272,0.4545,0.4545,1.0,0.909,0.3636,0.7272,1.0,0.0909,0.8181,0.0909,1.0,0.8181,0.0,0.8181,1.1818,0.8181,0.7272,0.8181,0.6363,0.3636,0.4545,0.1818,0.8181,0.8181,0.6363,0.4545,0.0909,0.2727,0.909,0.5454,0.7272,0.7272,0.1818,0.909,0.12083135745136345
"0.12426876657708565,0.12426876657708565,0.12426876657708565,0.12426876657708565,0.12426876657708565,0.12426876657708565,0.12426876657708565,0.12426876657708565,0.12426876657708565,0.12426876657708565",0.7272,0.7272,0.0,0.1818,0.0909,0.0909,0.3636,0.4545,0.0,0.0,0.2727,0.4545,0.2727,0.6363,0.6363,0.1818,0.2727,0.1818,0.2727,0.909,0.6363,0.1818,0.909,1.0909,0.7272,0.909,0.0,0.4545,1.0,0.0,0.7272,0.5454,0.0909,0.8181,0.4545,0.8181,1.1818,0.1818,0.909,0.8181,0.0909,1.0909,0.909,0.1818,0.3636,0.7272,0.6363,0.5454,0.2727,0.6363,1.0,1.0,0.8181,0.7272,1.0,1.0,0.6363,0.1818,0.7272,0.0909,0.5454,0.7272,0.7272,0.909,0.7272,0.1818,0.7272,0.3636,0.8181,0.5454,0.6363,0.6363,0.5454,0.909,0.909,0.6363,0.909,0.7272,0.6363,0.909,0.909,0.4545,0.6363,0.0909,0.7272,0.5454,0.8181,1.0909,0.0,0.6363,0.7272,0.8181,0.7272,0.4545,0.3636,0.8181,0.8181,0.7272,0.8181,0.7272,0.12426876657708566
"0.12558174002987246,0.12558174002987246,0.12558174002987246,0.12558174002987246,0.12558174002987246,0.12558174002987246,0.12558174002987246,0.12558174002987246,0.12558174002987246,0.12558174002987246",0.6363,0.7272,0.0,0.4545,0.3636,0.0,0.0,0.2727,0.8181,0.0,0.3636,0.0909,0.8181,1.0,0.6363,0.2727,1.0,0.4545,0.3636,0.2727,0.3636,0.4545,0.5454,0.5454,0.0,0.0909,0.4545,0.4545,0.909,0.6363,0.0909,0.8181,0.909,0.8181,1.0,0.7272,0.6363,0.7272,0.5454,0.8181,0.7272,0.4545,0.7272,0.1818,0.7272,0.7272,0.8181,0.7272,0.8181,0.6363,0.6363,0.2727,0.909,0.7272,0.6363,0.3636,0.5454,0.8181,0.6363,1.0,0.1818,0.8181,0.8181,0.3636,0.4545,0.5454,0.6363,0.1818,0.5454,0.6363,0.7272,0.2727,0.4545,0.1818,0.0909,0.8181,0.909,1.1818,0.8181,0.909,0.6363,0.909,0.5454,0.2727,0.7272,1.0,0.4545,0.0909,0.8181,0.5454,0.8181,0.7272,1.0,0.7272,0.7272,0.1818,0.6363,0.8181,0.6363,0.0909,0.12558174002987246
"0.12608325126251074,0.12608325126251074,0.12608325126251074,0.12608325126251074,0.12608325126251074,0.12608325126251074,0.12608325126251074,0.12608325126251074,0.12608325126251074,0.12608325126251074",0.8181,0.0,0.2727,0.3636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.909,0.909,0.8181,0.7272,1.0909,0.5454,0.909,0.8181,0.6363,1.0,0.4545,1.0,0.6363,0.7272,0.3636,0.0909,0.0909,0.0909,0.2727,0.0,0.7272,0.0909,0.909,0.6363,0.6363,0.1818,0.6363,0.909,0.2727,0.6363,0.7272,0.1818,0.7272,0.5454,0.909,1.1818,1.0,0.909,0.0909,0.5454,0.3636,0.2727,0.2727,0.0,0.909,0.909,0.6363,0.3636,0.3636,0.909,0.6363,0.4545,0.3636,0.909,0.6363,1.0,0.909,0.6363,0.0909,0.7272,0.8181,0.0909,0.5454,0.8181,0.1818,0.7272,0.7272,0.0909,0.8181,0.4545,0.2727,0.3636,0.5454,0.4545,0.0909,0.0909,0.6363,0.2727,1.1818,0.0,0.909,0.4545,0.7272,0.6363,0.5454,0.0909,0.4545,1.0909,0.8181,0.12608325126251074
