name,mutrate,num_samples,migration_matrix,num_uniq_mutations,uniq_mut_per_site,total_mut_sites,avg_mut_sites_per_sample,avg_proportion_mut_sites,total_dropout,dropout_per_sample,avg_mutation_age,true_migrations,inferred_migrations,proportion
sim0,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/true_migration_prob_matrix.csv,26,2.6000,554,5.5400,.5540,0,0,7.85556,11,6,.5454
sim10,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/true_migration_prob_matrix.csv,30,3.0000,439,4.3900,.4390,0,0,8.12866,11,1,.0909
sim11,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/true_migration_prob_matrix.csv,34,3.4000,505,5.0500,.5050,3,.0300,8.14837,11,9,.8181
sim12,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/true_migration_prob_matrix.csv,,,0,0,0,0,0,,0,,
sim13,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/true_migration_prob_matrix.csv,37,3.7000,648,6.4800,.6480,0,0,8.40508,11,8,.7272
sim14,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/true_migration_prob_matrix.csv,33,3.3000,637,6.3700,.6370,0,0,8.24029,11,,
sim15,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/true_migration_prob_matrix.csv,28,2.8000,577,5.7700,.5770,2,.0200,8.15962,11,6,.5454
sim16,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/true_migration_prob_matrix.csv,26,2.6000,752,7.5200,.7520,0,0,7.68761,11,7,.6363
sim17,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/true_migration_prob_matrix.csv,,,0,0,0,0,0,,0,,
sim18,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/true_migration_prob_matrix.csv,34,3.4000,634,6.3400,.6340,0,0,7.85565,11,7,.6363
sim19,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/true_migration_prob_matrix.csv,,,0,0,0,0,0,,0,,
sim1,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/true_migration_prob_matrix.csv,29,2.9000,531,5.3100,.5310,0,0,8.26367,11,7,.6363
sim2,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/true_migration_prob_matrix.csv,34,3.4000,591,5.9100,.5910,0,0,8.34029,11,7,.6363
sim3,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/true_migration_prob_matrix.csv,29,2.9000,702,7.0200,.7020,0,0,7.93984,11,7,.6363
sim4,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/true_migration_prob_matrix.csv,29,2.9000,550,5.5000,.5500,0,0,8.01324,11,12,1.0909
sim5,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/true_migration_prob_matrix.csv,33,3.3000,466,4.6600,.4660,0,0,8.6262,11,8,.7272
sim6,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/true_migration_prob_matrix.csv,32,3.2000,570,5.7000,.5700,0,0,7.82294,11,8,.7272
sim7,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/true_migration_prob_matrix.csv,30,3.0000,521,5.2100,.5210,14,.1400,8.5126,11,12,1.0909
sim8,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/true_migration_prob_matrix.csv,36,3.6000,538,5.3800,.5380,0,0,8.19772,11,3,.2727
sim9,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/true_migration_prob_matrix.csv,30,3.0000,668,6.6800,.6680,98,.9800,7.99492,11,7,.6363
sim20,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/true_migration_prob_matrix.csv,32,3.2000,588,5.8800,.5880,44,.4400,7.85501,11,12,1.0909
sim21,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/true_migration_prob_matrix.csv,28,2.8000,627,6.2700,.6270,0,0,7.51682,11,8,.7272
sim22,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/true_migration_prob_matrix.csv,33,3.3000,633,6.3300,.6330,0,0,8.1935,11,6,.5454
sim23,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/true_migration_prob_matrix.csv,29,2.9000,705,7.0500,.7050,0,0,7.86054,11,9,.8181
sim24,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/true_migration_prob_matrix.csv,36,3.6000,512,5.1200,.5120,0,0,8.34455,11,9,.8181
sim25,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/true_migration_prob_matrix.csv,32,3.2000,555,5.5500,.5550,0,0,8.17117,11,3,.2727
sim26,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/true_migration_prob_matrix.csv,36,3.6000,560,5.6000,.5600,0,0,8.02739,11,9,.8181
sim27,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/true_migration_prob_matrix.csv,31,3.1000,630,6.3000,.6300,0,0,7.7959,11,9,.8181
