name,mutrate,num_samples,migration_matrix,num_mutations,mut_per_site,true_migrations,inferred_migrations,proportion
sim0,0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01,100,data/equal_migration_prob_matrix.csv,8,.8000,75,2,.0266
sim10,0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01,100,data/equal_migration_prob_matrix.csv,,,0,,
sim11,0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01,100,data/equal_migration_prob_matrix.csv,,,0,,
sim12,0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01,100,data/equal_migration_prob_matrix.csv,,,0,,
sim13,0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01,100,data/equal_migration_prob_matrix.csv,,,0,,
sim14,0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01,100,data/equal_migration_prob_matrix.csv,,,0,,
sim15,0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01,100,data/equal_migration_prob_matrix.csv,9,.9000,75,2,.0266
sim16,0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01,100,data/equal_migration_prob_matrix.csv,8,.8000,75,,
sim17,0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01,100,data/equal_migration_prob_matrix.csv,,,0,,
sim18,0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01,100,data/equal_migration_prob_matrix.csv,5,.5000,75,,
sim19,0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01,100,data/equal_migration_prob_matrix.csv,7,.7000,75,5,.0666
sim1,0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01,100,data/equal_migration_prob_matrix.csv,7,.7000,75,4,.0533
sim2,0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01,100,data/equal_migration_prob_matrix.csv,9,.9000,75,,
sim3,0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01,100,data/equal_migration_prob_matrix.csv,10,1.0000,75,2,.0266
sim4,0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01,100,data/equal_migration_prob_matrix.csv,8,.8000,75,6,.0800
sim5,0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01,100,data/equal_migration_prob_matrix.csv,9,.9000,75,2,.0266
sim6,0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01,100,data/equal_migration_prob_matrix.csv,9,.9000,75,2,.0266
sim7,0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01,100,data/equal_migration_prob_matrix.csv,10,1.0000,75,5,.0666
sim8,0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01,100,data/equal_migration_prob_matrix.csv,9,.9000,75,2,.0266
sim9,0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01,100,data/equal_migration_prob_matrix.csv,6,.6000,75,,
sim20,0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01,100,data/equal_migration_prob_matrix.csv,9,.9000,75,,
sim21,0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01,100,data/equal_migration_prob_matrix.csv,10,1.0000,75,2,.0266
sim22,0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01,100,data/equal_migration_prob_matrix.csv,6,.6000,75,2,.0266
sim23,0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01,100,data/equal_migration_prob_matrix.csv,2,.2000,75,,
sim24,0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01,100,data/equal_migration_prob_matrix.csv,10,1.0000,75,2,.0266
sim25,0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01,100,data/equal_migration_prob_matrix.csv,7,.7000,75,,
sim26,0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01,100,data/equal_migration_prob_matrix.csv,7,.7000,75,2,.0266
sim27,0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01,100,data/equal_migration_prob_matrix.csv,10,1.0000,75,2,.0266
sim28,0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01,100,data/equal_migration_prob_matrix.csv,12,1.2000,75,4,.0533
sim29,0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01,100,data/equal_migration_prob_matrix.csv,10,1.0000,75,2,.0266
sim30,0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01,100,data/equal_migration_prob_matrix.csv,8,.8000,75,2,.0266
sim31,0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01,100,data/equal_migration_prob_matrix.csv,6,.6000,75,,
sim32,0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01,100,data/equal_migration_prob_matrix.csv,7,.7000,75,4,.0533
sim33,0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01,100,data/equal_migration_prob_matrix.csv,12,1.2000,75,4,.0533
sim34,0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01,100,data/equal_migration_prob_matrix.csv,5,.5000,75,2,.0266
sim35,0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01,100,data/equal_migration_prob_matrix.csv,6,.6000,75,2,.0266
sim36,0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01,100,data/equal_migration_prob_matrix.csv,9,.9000,75,2,.0266
sim37,0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01,100,data/equal_migration_prob_matrix.csv,5,.5000,75,,
sim38,0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01,100,data/equal_migration_prob_matrix.csv,9,.9000,75,3,.0400
