"","parent","node","branch.length","label","isTip","x","y","branch","angle","group"
"1",661,1,1,"ASV277",TRUE,3,658,2.5,360,"CP01"
"2",661,2,1,"ASV656",TRUE,3,657,2.5,359.452887537994,"CP01"
"3",661,3,1,"ASV075",TRUE,3,656,2.5,358.905775075988,"CP01"
"4",661,4,0,"ASV058",TRUE,2,655,2,358.358662613982,"CP01"
"5",662,5,1,"ASV538",TRUE,3,654,2.5,357.811550151976,"CP01"
"6",662,6,1,"ASV219",TRUE,3,653,2.5,357.26443768997,"CP01"
"7",662,7,0,"ASV425",TRUE,2,652,2,356.717325227963,"CP01"
"8",663,8,1,"ASV363",TRUE,3,651,2.5,356.170212765957,"CP01"
"9",663,9,0,"ASV177",TRUE,2,650,2,355.623100303951,"CP01"
"10",664,10,1,"ASV333",TRUE,3,649,2.5,355.075987841945,"CP01"
"11",664,11,0,"ASV317",TRUE,2,648,2,354.528875379939,"CP01"
"12",665,12,1,"ASV191",TRUE,3,647,2.5,353.981762917933,"CP01"
"13",665,13,0,"ASV042",TRUE,2,646,2,353.434650455927,"CP01"
"14",666,14,1,"ASV209",TRUE,3,645,2.5,352.887537993921,"CP01"
"15",666,15,0,"ASV029",TRUE,2,644,2,352.340425531915,"CP01"
"16",660,16,1,"ASV616",TRUE,2,643,1.5,351.793313069909,"CP01"
"17",660,17,1,"ASV024",TRUE,2,642,1.5,351.246200607903,"CP01"
"18",660,18,1,"ASV065",TRUE,2,641,1.5,350.699088145897,"CP01"
"19",660,19,1,"ASV046",TRUE,2,640,1.5,350.151975683891,"CP01"
"20",660,20,1,"ASV409",TRUE,2,639,1.5,349.604863221885,"CP01"
"21",660,21,1,"ASV179",TRUE,2,638,1.5,349.057750759878,"CP01"
"22",660,22,1,"ASV069",TRUE,2,637,1.5,348.510638297872,"CP01"
"23",660,23,1,"ASV080",TRUE,2,636,1.5,347.963525835866,"CP01"
"24",660,24,1,"ASV293",TRUE,2,635,1.5,347.41641337386,"CP01"
"25",660,25,2,"ASV536",TRUE,3,634,2,346.869300911854,"CP01"
"26",660,26,1,"ASV223",TRUE,2,633,1.5,346.322188449848,"CP01"
"27",660,27,1,"ASV535",TRUE,2,632,1.5,345.775075987842,"CP01"
"28",660,28,1,"ASV063",TRUE,2,631,1.5,345.227963525836,"CP01"
"29",660,29,1,"ASV446",TRUE,2,630,1.5,344.68085106383,"CP01"
"30",660,30,1,"ASV178",TRUE,2,629,1.5,344.133738601824,"CP01"
"31",660,31,1,"ASV050",TRUE,2,628,1.5,343.586626139818,"CP01"
"32",660,32,1,"ASV580",TRUE,2,627,1.5,343.039513677812,"CP01"
"33",660,33,1,"ASV039",TRUE,2,626,1.5,342.492401215805,"CP01"
"34",660,34,1,"ASV152",TRUE,2,625,1.5,341.945288753799,"CP01"
"35",660,35,1,"ASV467",TRUE,2,624,1.5,341.398176291793,"CP01"
"36",660,36,1,"ASV509",TRUE,2,623,1.5,340.851063829787,"CP01"
"37",660,37,1,"ASV383",TRUE,2,622,1.5,340.303951367781,"CP01"
"38",660,38,1,"ASV466",TRUE,2,621,1.5,339.756838905775,"CP01"
"39",660,39,1,"ASV218",TRUE,2,620,1.5,339.209726443769,"CP01"
"40",660,40,1,"ASV217",TRUE,2,619,1.5,338.662613981763,"CP01"
"41",660,41,1,"ASV276",TRUE,2,618,1.5,338.115501519757,"CP01"
"42",660,42,1,"ASV615",TRUE,2,617,1.5,337.568389057751,"CP01"
"43",660,43,1,"ASV119",TRUE,2,616,1.5,337.021276595745,"CP01"
"44",660,44,1,"ASV534",TRUE,2,615,1.5,336.474164133739,"CP01"
