	0	1	2	3	4	0_1_0.05	1_1_0.05	2_1_0.05	3_1_0.05	4_1_0.05
118	0	76	1	0	55	83	57	0	94	0
134	94	94	0	22	34	0	0	0	0	0
142	0	76	1	0	55	83	57	0	0	0
149	0	76	1	0	55	83	57	0	0	0
156	0	76	1	85	55	83	57	0	0	0
165	0	76	1	0	55	83	57	0	0	0
174	0	76	73	0	55	83	57	21	0	0
177	0	76	1	0	55	83	57	0	0	0
178	0	76	1	0	55	83	57	0	0	0
193	0	76	1	0	55	83	57	0	0	0
196	0	76	0	0	55	83	57	21	0	96
197	0	76	0	0	55	83	57	21	0	0
204	0	76	0	0	55	83	57	21	0	0
206	1	76	5	0	55	83	57	21	78	0
207	1	76	0	0	55	83	57	21	78	0
211	0	76	1	0	55	83	57	0	0	0
212	0	76	0	0	55	83	57	0	0	0
214	1	76	0	0	55	83	57	21	78	0
216	0	76	0	0	55	83	57	21	0	0
219	0	76	0	0	55	83	57	0	53	0
224	0	76	0	0	55	83	57	0	53	0
227	0	76	0	0	55	83	57	0	53	0
228	0	76	1	0	55	83	57	11	0	0
230	0	76	0	0	55	83	57	21	0	0
231	0	76	0	0	55	83	57	21	0	0
232	0	76	1	0	55	83	57	0	0	0
233	0	76	1	49	55	83	57	0	0	0
235	1	76	0	0	55	83	57	21	78	0
236	0	76	1	0	55	83	57	0	0	0
237	0	76	1	0	55	83	57	0	0	0
238	0	76	1	0	55	83	57	11	0	0
240	0	76	1	0	55	83	57	0	0	0
241	0	76	1	0	55	83	57	0	0	0
242	98	94	0	14	88	58	0	0	75	0
243	98	94	0	14	88	58	0	0	75	0
244	0	76	0	0	55	83	57	0	53	0
246	0	76	0	0	55	83	57	0	0	0
247	0	76	0	0	55	83	57	0	0	0
248	0	76	0	0	55	83	57	0	53	0
249	0	76	0	0	55	83	57	0	53	0
250	1	76	0	0	55	83	57	21	78	0
251	1	76	0	0	55	83	57	21	78	0
252	0	76	1	0	55	83	57	11	0	0
253	0	76	1	0	55	83	57	11	0	0
254	0	76	1	0	55	83	57	0	87	0
255	0	76	1	0	55	83	57	0	87	0
256	0	76	0	0	55	83	57	21	0	0
257	0	76	0	0	55	83	57	21	0	0
258	7	76	61	40	55	83	57	21	0	0
259	7	76	61	40	55	83	57	21	0	0
