	0	1	2	3	4	0_1_0.01	1_1_0.01	2_1_0.01	3_1_0.01	4_1_0.01
57	0	0	0	13	0	0	0	0	0	0
85	51	14	59	0	59	0	0	0	0	0
92	51	0	59	0	0	0	0	0	0	0
100	64	0	0	0	0	0	0	0	0	0
107	0	0	59	47	0	0	0	0	0	0
111	0	0	59	47	0	0	0	0	0	0
115	0	0	59	47	0	0	0	0	0	0
116	0	0	59	47	0	0	0	0	0	0
118	0	0	59	47	0	0	0	0	0	0
120	64	0	0	0	9	0	0	0	0	0
121	64	0	0	0	0	0	0	0	0	0
123	86	0	59	47	0	0	0	0	0	0
124	0	0	59	47	0	0	0	0	0	0
125	0	0	59	47	0	0	0	0	0	0
126	0	0	59	47	0	0	0	0	0	0
127	0	0	59	47	0	0	0	0	0	0
128	0	0	59	47	0	0	0	0	0	0
129	0	0	59	47	0	0	0	0	0	0
130	0	0	59	47	0	0	0	0	0	0
131	0	0	59	47	0	0	0	0	0	0
